R_m,rho_needed_conserv,rho_needed_realist,rho_needed_optimist,rho_avail_conserv,rho_avail_realist,rho_avail_optimist,gap_conserv,gap_realist,gap_optimist
2.4030e+01,7.4947e+56,7.4947e+56,7.4947e+56,5.7296e+04,3.1831e+07,3.1831e+10,1.3081e+52,2.3545e+49,2.3545e+46
2.4591e+01,7.1567e+56,7.1567e+56,7.1567e+56,5.7296e+04,3.1831e+07,3.1831e+10,1.2491e+52,2.2484e+49,2.2484e+46
2.5165e+01,6.8340e+56,6.8340e+56,6.8340e+56,5.7296e+04,3.1831e+07,3.1831e+10,1.1928e+52,2.1470e+49,2.1470e+46
2.5753e+01,6.5258e+56,6.5258e+56,6.5258e+56,5.7296e+04,3.1831e+07,3.1831e+10,1.1390e+52,2.0501e+49,2.0501e+46
2.6354e+01,6.2315e+56,6.2315e+56,6.2315e+56,5.7296e+04,3.1831e+07,3.1831e+10,1.0876e+52,1.9577e+49,1.9577e+46
2.6969e+01,5.9505e+56,5.9505e+56,5.9505e+56,5.7296e+04,3.1831e+07,3.1831e+10,1.0386e+52,1.8694e+49,1.8694e+46
2.7598e+01,5.6822e+56,5.6822e+56,5.6822e+56,5.7296e+04,3.1831e+07,3.1831e+10,9.9173e+51,1.7851e+49,1.7851e+46
2.8242e+01,5.4259e+56,5.4259e+56,5.4259e+56,5.7296e+04,3.1831e+07,3.1831e+10,9.4701e+51,1.7046e+49,1.7046e+46
2.8902e+01,5.1813e+56,5.1813e+56,5.1813e+56,5.7296e+04,3.1831e+07,3.1831e+10,9.0430e+51,1.6277e+49,1.6277e+46
2.9576e+01,4.9476e+56,4.9476e+56,4.9476e+56,5.7296e+04,3.1831e+07,3.1831e+10,8.6352e+51,1.5543e+49,1.5543e+46
3.0266e+01,4.7245e+56,4.7245e+56,4.7245e+56,5.7296e+04,3.1831e+07,3.1831e+10,8.2458e+51,1.4842e+49,1.4842e+46
3.0973e+01,4.5114e+56,4.5114e+56,4.5114e+56,5.7296e+04,3.1831e+07,3.1831e+10,7.8739e+51,1.4173e+49,1.4173e+46
3.1696e+01,4.3080e+56,4.3080e+56,4.3080e+56,5.7296e+04,3.1831e+07,3.1831e+10,7.5189e+51,1.3534e+49,1.3534e+46
3.2436e+01,4.1137e+56,4.1137e+56,4.1137e+56,5.7296e+04,3.1831e+07,3.1831e+10,7.1798e+51,1.2924e+49,1.2924e+46
3.3193e+01,3.9282e+56,3.9282e+56,3.9282e+56,5.7296e+04,3.1831e+07,3.1831e+10,6.8560e+51,1.2341e+49,1.2341e+46
3.3967e+01,3.7511e+56,3.7511e+56,3.7511e+56,5.7296e+04,3.1831e+07,3.1831e+10,6.5468e+51,1.1784e+49,1.1784e+46
3.4760e+01,3.5819e+56,3.5819e+56,3.5819e+56,5.7296e+04,3.1831e+07,3.1831e+10,6.2516e+51,1.1253e+49,1.1253e+46
3.5572e+01,3.4204e+56,3.4204e+56,3.4204e+56,5.7296e+04,3.1831e+07,3.1831e+10,5.9697e+51,1.0745e+49,1.0745e+46
3.6402e+01,3.2661e+56,3.2661e+56,3.2661e+56,5.7296e+04,3.1831e+07,3.1831e+10,5.7005e+51,1.0261e+49,1.0261e+46
3.7251e+01,3.1188e+56,3.1188e+56,3.1188e+56,5.7296e+04,3.1831e+07,3.1831e+10,5.4434e+51,9.7981e+48,9.7981e+45
3.8121e+01,2.9782e+56,2.9782e+56,2.9782e+56,5.7296e+04,3.1831e+07,3.1831e+10,5.1979e+51,9.3563e+48,9.3563e+45
3.9011e+01,2.8439e+56,2.8439e+56,2.8439e+56,5.7296e+04,3.1831e+07,3.1831e+10,4.9635e+51,8.9344e+48,8.9344e+45
3.9921e+01,2.7157e+56,2.7157e+56,2.7157e+56,5.7296e+04,3.1831e+07,3.1831e+10,4.7397e+51,8.5315e+48,8.5315e+45
4.0853e+01,2.5932e+56,2.5932e+56,2.5932e+56,5.7296e+04,3.1831e+07,3.1831e+10,4.5260e+51,8.1467e+48,8.1467e+45
4.1806e+01,2.4762e+56,2.4762e+56,2.4762e+56,5.7296e+04,3.1831e+07,3.1831e+10,4.3219e+51,7.7794e+48,7.7794e+45
4.2782e+01,2.3646e+56,2.3646e+56,2.3646e+56,5.7296e+04,3.1831e+07,3.1831e+10,4.1270e+51,7.4285e+48,7.4285e+45
4.3781e+01,2.2579e+56,2.2579e+56,2.2579e+56,5.7296e+04,3.1831e+07,3.1831e+10,3.9409e+51,7.0935e+48,7.0935e+45
4.4803e+01,2.1561e+56,2.1561e+56,2.1561e+56,5.7296e+04,3.1831e+07,3.1831e+10,3.7631e+51,6.7737e+48,6.7737e+45
4.5848e+01,2.0589e+56,2.0589e+56,2.0589e+56,5.7296e+04,3.1831e+07,3.1831e+10,3.5934e+51,6.4682e+48,6.4682e+45
4.6918e+01,1.9660e+56,1.9660e+56,1.9660e+56,5.7296e+04,3.1831e+07,3.1831e+10,3.4314e+51,6.1765e+48,6.1765e+45
4.8013e+01,1.8774e+56,1.8774e+56,1.8774e+56,5.7296e+04,3.1831e+07,3.1831e+10,3.2767e+51,5.8980e+48,5.8980e+45
4.9134e+01,1.7927e+56,1.7927e+56,1.7927e+56,5.7296e+04,3.1831e+07,3.1831e+10,3.1289e+51,5.6320e+48,5.6320e+45
5.0281e+01,1.7119e+56,1.7119e+56,1.7119e+56,5.7296e+04,3.1831e+07,3.1831e+10,2.9878e+51,5.3780e+48,5.3780e+45
5.1454e+01,1.6347e+56,1.6347e+56,1.6347e+56,5.7296e+04,3.1831e+07,3.1831e+10,2.8531e+51,5.1355e+48,5.1355e+45
5.2655e+01,1.5610e+56,1.5610e+56,1.5610e+56,5.7296e+04,3.1831e+07,3.1831e+10,2.7244e+51,4.9039e+48,4.9039e+45
5.3884e+01,1.4906e+56,1.4906e+56,1.4906e+56,5.7296e+04,3.1831e+07,3.1831e+10,2.6015e+51,4.6828e+48,4.6828e+45
5.5142e+01,1.4234e+56,1.4234e+56,1.4234e+56,5.7296e+04,3.1831e+07,3.1831e+10,2.4842e+51,4.4716e+48,4.4716e+45
5.6429e+01,1.3592e+56,1.3592e+56,1.3592e+56,5.7296e+04,3.1831e+07,3.1831e+10,2.3722e+51,4.2699e+48,4.2699e+45
5.7746e+01,1.2979e+56,1.2979e+56,1.2979e+56,5.7296e+04,3.1831e+07,3.1831e+10,2.2652e+51,4.0774e+48,4.0774e+45
5.9094e+01,1.2393e+56,1.2393e+56,1.2393e+56,5.7296e+04,3.1831e+07,3.1831e+10,2.1631e+51,3.8935e+48,3.8935e+45
6.0473e+01,1.1835e+56,1.1835e+56,1.1835e+56,5.7296e+04,3.1831e+07,3.1831e+10,2.0655e+51,3.7179e+48,3.7179e+45
6.1885e+01,1.1301e+56,1.1301e+56,1.1301e+56,5.7296e+04,3.1831e+07,3.1831e+10,1.9724e+51,3.5503e+48,3.5503e+45
6.3329e+01,1.0791e+56,1.0791e+56,1.0791e+56,5.7296e+04,3.1831e+07,3.1831e+10,1.8834e+51,3.3902e+48,3.3902e+45
6.4807e+01,1.0305e+56,1.0305e+56,1.0305e+56,5.7296e+04,3.1831e+07,3.1831e+10,1.7985e+51,3.2373e+48,3.2373e+45
6.6320e+01,9.8399e+55,9.8399e+55,9.8399e+55,5.7296e+04,3.1831e+07,3.1831e+10,1.7174e+51,3.0913e+48,3.0913e+45
6.7868e+01,9.3962e+55,9.3962e+55,9.3962e+55,5.7296e+04,3.1831e+07,3.1831e+10,1.6399e+51,2.9519e+48,2.9519e+45
6.9452e+01,8.9725e+55,8.9725e+55,8.9725e+55,5.7296e+04,3.1831e+07,3.1831e+10,1.5660e+51,2.8188e+48,2.8188e+45
7.1073e+01,8.5678e+55,8.5678e+55,8.5678e+55,5.7296e+04,3.1831e+07,3.1831e+10,1.4954e+51,2.6917e+48,2.6917e+45
7.2732e+01,8.1815e+55,8.1815e+55,8.1815e+55,5.7296e+04,3.1831e+07,3.1831e+10,1.4279e+51,2.5703e+48,2.5703e+45
7.4429e+01,7.8125e+55,7.8125e+55,7.8125e+55,5.7296e+04,3.1831e+07,3.1831e+10,1.3635e+51,2.4544e+48,2.4544e+45
7.6166e+01,7.4602e+55,7.4602e+55,7.4602e+55,5.7296e+04,3.1831e+07,3.1831e+10,1.3021e+51,2.3437e+48,2.3437e+45
7.7944e+01,7.1238e+55,7.1238e+55,7.1238e+55,5.7296e+04,3.1831e+07,3.1831e+10,1.2433e+51,2.2380e+48,2.2380e+45
7.9763e+01,6.8025e+55,6.8025e+55,6.8025e+55,5.7296e+04,3.1831e+07,3.1831e+10,1.1873e+51,2.1371e+48,2.1371e+45
8.1625e+01,6.4958e+55,6.4958e+55,6.4958e+55,5.7296e+04,3.1831e+07,3.1831e+10,1.1337e+51,2.0407e+48,2.0407e+45
8.3530e+01,6.2028e+55,6.2028e+55,6.2028e+55,5.7296e+04,3.1831e+07,3.1831e+10,1.0826e+51,1.9487e+48,1.9487e+45
8.5480e+01,5.9231e+55,5.9231e+55,5.9231e+55,5.7296e+04,3.1831e+07,3.1831e+10,1.0338e+51,1.8608e+48,1.8608e+45
8.7475e+01,5.6560e+55,5.6560e+55,5.6560e+55,5.7296e+04,3.1831e+07,3.1831e+10,9.8716e+50,1.7769e+48,1.7769e+45
8.9517e+01,5.4010e+55,5.4010e+55,5.4010e+55,5.7296e+04,3.1831e+07,3.1831e+10,9.4265e+50,1.6968e+48,1.6968e+45
9.1606e+01,5.1574e+55,5.1574e+55,5.1574e+55,5.7296e+04,3.1831e+07,3.1831e+10,9.0014e+50,1.6202e+48,1.6202e+45
9.3744e+01,4.9248e+55,4.9248e+55,4.9248e+55,5.7296e+04,3.1831e+07,3.1831e+10,8.5954e+50,1.5472e+48,1.5472e+45
9.5932e+01,4.7027e+55,4.7027e+55,4.7027e+55,5.7296e+04,3.1831e+07,3.1831e+10,8.2078e+50,1.4774e+48,1.4774e+45
9.8171e+01,4.4907e+55,4.4907e+55,4.4907e+55,5.7296e+04,3.1831e+07,3.1831e+10,7.8377e+50,1.4108e+48,1.4108e+45
1.0046e+02,4.2882e+55,4.2882e+55,4.2882e+55,5.7296e+04,3.1831e+07,3.1831e+10,7.4842e+50,1.3472e+48,1.3472e+45
1.0281e+02,4.0948e+55,4.0948e+55,4.0948e+55,5.7296e+04,3.1831e+07,3.1831e+10,7.1467e+50,1.2864e+48,1.2864e+45
1.0521e+02,3.9101e+55,3.9101e+55,3.9101e+55,5.7296e+04,3.1831e+07,3.1831e+10,6.8245e+50,1.2284e+48,1.2284e+45
1.0766e+02,3.7338e+55,3.7338e+55,3.7338e+55,5.7296e+04,3.1831e+07,3.1831e+10,6.5167e+50,1.1730e+48,1.1730e+45
1.1018e+02,3.5654e+55,3.5654e+55,3.5654e+55,5.7296e+04,3.1831e+07,3.1831e+10,6.2228e+50,1.1201e+48,1.1201e+45
1.1275e+02,3.4046e+55,3.4046e+55,3.4046e+55,5.7296e+04,3.1831e+07,3.1831e+10,5.9422e+50,1.0696e+48,1.0696e+45
1.1538e+02,3.2511e+55,3.2511e+55,3.2511e+55,5.7296e+04,3.1831e+07,3.1831e+10,5.6742e+50,1.0214e+48,1.0214e+45
1.1807e+02,3.1045e+55,3.1045e+55,3.1045e+55,5.7296e+04,3.1831e+07,3.1831e+10,5.4184e+50,9.7530e+47,9.7530e+44
1.2083e+02,2.9645e+55,2.9645e+55,2.9645e+55,5.7296e+04,3.1831e+07,3.1831e+10,5.1740e+50,9.3132e+47,9.3132e+44
1.2365e+02,2.8308e+55,2.8308e+55,2.8308e+55,5.7296e+04,3.1831e+07,3.1831e+10,4.9407e+50,8.8932e+47,8.8932e+44
1.2653e+02,2.7031e+55,2.7031e+55,2.7031e+55,5.7296e+04,3.1831e+07,3.1831e+10,4.7179e+50,8.4922e+47,8.4922e+44
1.2949e+02,2.5812e+55,2.5812e+55,2.5812e+55,5.7296e+04,3.1831e+07,3.1831e+10,4.5051e+50,8.1092e+47,8.1092e+44
1.3251e+02,2.4648e+55,2.4648e+55,2.4648e+55,5.7296e+04,3.1831e+07,3.1831e+10,4.3020e+50,7.7435e+47,7.7435e+44
1.3560e+02,2.3537e+55,2.3537e+55,2.3537e+55,5.7296e+04,3.1831e+07,3.1831e+10,4.1080e+50,7.3943e+47,7.3943e+44
1.3877e+02,2.2476e+55,2.2476e+55,2.2476e+55,5.7296e+04,3.1831e+07,3.1831e+10,3.9227e+50,7.0609e+47,7.0609e+44
