R_m,rho_needed_conserv,rho_needed_realist,rho_needed_optimist,rho_avail_conserv,rho_avail_realist,rho_avail_optimist,gap_conserv,gap_realist,gap_optimist
5.0513e+02,1.6962e+54,1.6962e+54,1.6962e+54,5.7296e+04,3.1831e+07,3.1831e+10,2.9603e+49,5.3286e+46,5.3286e+43
5.1692e+02,1.6197e+54,1.6197e+54,1.6197e+54,5.7296e+04,3.1831e+07,3.1831e+10,2.8268e+49,5.0883e+46,5.0883e+43
5.2899e+02,1.5466e+54,1.5466e+54,1.5466e+54,5.7296e+04,3.1831e+07,3.1831e+10,2.6994e+49,4.8589e+46,4.8589e+43
5.4134e+02,1.4769e+54,1.4769e+54,1.4769e+54,5.7296e+04,3.1831e+07,3.1831e+10,2.5776e+49,4.6398e+46,4.6398e+43
5.5397e+02,1.4103e+54,1.4103e+54,1.4103e+54,5.7296e+04,3.1831e+07,3.1831e+10,2.4614e+49,4.4305e+46,4.4305e+43
5.6690e+02,1.3467e+54,1.3467e+54,1.3467e+54,5.7296e+04,3.1831e+07,3.1831e+10,2.3504e+49,4.2307e+46,4.2307e+43
5.8013e+02,1.2860e+54,1.2860e+54,1.2860e+54,5.7296e+04,3.1831e+07,3.1831e+10,2.2444e+49,4.0399e+46,4.0399e+43
5.9367e+02,1.2280e+54,1.2280e+54,1.2280e+54,5.7296e+04,3.1831e+07,3.1831e+10,2.1432e+49,3.8578e+46,3.8578e+43
6.0753e+02,1.1726e+54,1.1726e+54,1.1726e+54,5.7296e+04,3.1831e+07,3.1831e+10,2.0465e+49,3.6838e+46,3.6838e+43
6.2171e+02,1.1197e+54,1.1197e+54,1.1197e+54,5.7296e+04,3.1831e+07,3.1831e+10,1.9543e+49,3.5177e+46,3.5177e+43
6.3622e+02,1.0692e+54,1.0692e+54,1.0692e+54,5.7296e+04,3.1831e+07,3.1831e+10,1.8661e+49,3.3590e+46,3.3590e+43
6.5107e+02,1.0210e+54,1.0210e+54,1.0210e+54,5.7296e+04,3.1831e+07,3.1831e+10,1.7820e+49,3.2076e+46,3.2076e+43
6.6627e+02,9.7495e+53,9.7495e+53,9.7495e+53,5.7296e+04,3.1831e+07,3.1831e+10,1.7016e+49,3.0629e+46,3.0629e+43
6.8182e+02,9.3099e+53,9.3099e+53,9.3099e+53,5.7296e+04,3.1831e+07,3.1831e+10,1.6249e+49,2.9248e+46,2.9248e+43
6.9773e+02,8.8900e+53,8.8900e+53,8.8900e+53,5.7296e+04,3.1831e+07,3.1831e+10,1.5516e+49,2.7929e+46,2.7929e+43
7.1402e+02,8.4891e+53,8.4891e+53,8.4891e+53,5.7296e+04,3.1831e+07,3.1831e+10,1.4816e+49,2.6669e+46,2.6669e+43
7.3068e+02,8.1063e+53,8.1063e+53,8.1063e+53,5.7296e+04,3.1831e+07,3.1831e+10,1.4148e+49,2.5467e+46,2.5467e+43
7.4773e+02,7.7408e+53,7.7408e+53,7.7408e+53,5.7296e+04,3.1831e+07,3.1831e+10,1.3510e+49,2.4318e+46,2.4318e+43
7.6519e+02,7.3917e+53,7.3917e+53,7.3917e+53,5.7296e+04,3.1831e+07,3.1831e+10,1.2901e+49,2.3222e+46,2.3222e+43
7.8305e+02,7.0584e+53,7.0584e+53,7.0584e+53,5.7296e+04,3.1831e+07,3.1831e+10,1.2319e+49,2.2174e+46,2.2174e+43
8.0132e+02,6.7401e+53,6.7401e+53,6.7401e+53,5.7296e+04,3.1831e+07,3.1831e+10,1.1764e+49,2.1175e+46,2.1175e+43
8.2003e+02,6.4361e+53,6.4361e+53,6.4361e+53,5.7296e+04,3.1831e+07,3.1831e+10,1.1233e+49,2.0220e+46,2.0220e+43
8.3917e+02,6.1459e+53,6.1459e+53,6.1459e+53,5.7296e+04,3.1831e+07,3.1831e+10,1.0727e+49,1.9308e+46,1.9308e+43
8.5875e+02,5.8687e+53,5.8687e+53,5.8687e+53,5.7296e+04,3.1831e+07,3.1831e+10,1.0243e+49,1.8437e+46,1.8437e+43
8.7880e+02,5.6041e+53,5.6041e+53,5.6041e+53,5.7296e+04,3.1831e+07,3.1831e+10,9.7809e+48,1.7606e+46,1.7606e+43
8.9931e+02,5.3513e+53,5.3513e+53,5.3513e+53,5.7296e+04,3.1831e+07,3.1831e+10,9.3399e+48,1.6812e+46,1.6812e+43
9.2030e+02,5.1100e+53,5.1100e+53,5.1100e+53,5.7296e+04,3.1831e+07,3.1831e+10,8.9187e+48,1.6054e+46,1.6054e+43
9.4178e+02,4.8796e+53,4.8796e+53,4.8796e+53,5.7296e+04,3.1831e+07,3.1831e+10,8.5165e+48,1.5330e+46,1.5330e+43
9.6376e+02,4.6595e+53,4.6595e+53,4.6595e+53,5.7296e+04,3.1831e+07,3.1831e+10,8.1324e+48,1.4638e+46,1.4638e+43
9.8625e+02,4.4494e+53,4.4494e+53,4.4494e+53,5.7296e+04,3.1831e+07,3.1831e+10,7.7657e+48,1.3978e+46,1.3978e+43
1.0093e+03,4.2488e+53,4.2488e+53,4.2488e+53,5.7296e+04,3.1831e+07,3.1831e+10,7.4155e+48,1.3348e+46,1.3348e+43
1.0328e+03,4.0572e+53,4.0572e+53,4.0572e+53,5.7296e+04,3.1831e+07,3.1831e+10,7.0811e+48,1.2746e+46,1.2746e+43
1.0569e+03,3.8742e+53,3.8742e+53,3.8742e+53,5.7296e+04,3.1831e+07,3.1831e+10,6.7618e+48,1.2171e+46,1.2171e+43
1.0816e+03,3.6995e+53,3.6995e+53,3.6995e+53,5.7296e+04,3.1831e+07,3.1831e+10,6.4568e+48,1.1622e+46,1.1622e+43
1.1068e+03,3.5327e+53,3.5327e+53,3.5327e+53,5.7296e+04,3.1831e+07,3.1831e+10,6.1657e+48,1.1098e+46,1.1098e+43
1.1327e+03,3.3734e+53,3.3734e+53,3.3734e+53,5.7296e+04,3.1831e+07,3.1831e+10,5.8876e+48,1.0598e+46,1.0598e+43
1.1591e+03,3.2212e+53,3.2212e+53,3.2212e+53,5.7296e+04,3.1831e+07,3.1831e+10,5.6221e+48,1.0120e+46,1.0120e+43
1.1862e+03,3.0760e+53,3.0760e+53,3.0760e+53,5.7296e+04,3.1831e+07,3.1831e+10,5.3686e+48,9.6634e+45,9.6634e+42
1.2139e+03,2.9373e+53,2.9373e+53,2.9373e+53,5.7296e+04,3.1831e+07,3.1831e+10,5.1265e+48,9.2277e+45,9.2277e+42
1.2422e+03,2.8048e+53,2.8048e+53,2.8048e+53,5.7296e+04,3.1831e+07,3.1831e+10,4.8953e+48,8.8115e+45,8.8115e+42
1.2712e+03,2.6783e+53,2.6783e+53,2.6783e+53,5.7296e+04,3.1831e+07,3.1831e+10,4.6745e+48,8.4142e+45,8.4142e+42
1.3009e+03,2.5575e+53,2.5575e+53,2.5575e+53,5.7296e+04,3.1831e+07,3.1831e+10,4.4637e+48,8.0347e+45,8.0347e+42
1.3312e+03,2.4422e+53,2.4422e+53,2.4422e+53,5.7296e+04,3.1831e+07,3.1831e+10,4.2624e+48,7.6724e+45,7.6724e+42
1.3623e+03,2.3321e+53,2.3321e+53,2.3321e+53,5.7296e+04,3.1831e+07,3.1831e+10,4.0702e+48,7.3264e+45,7.3264e+42
1.3941e+03,2.2269e+53,2.2269e+53,2.2269e+53,5.7296e+04,3.1831e+07,3.1831e+10,3.8867e+48,6.9960e+45,6.9960e+42
1.4266e+03,2.1265e+53,2.1265e+53,2.1265e+53,5.7296e+04,3.1831e+07,3.1831e+10,3.7114e+48,6.6805e+45,6.6805e+42
1.4599e+03,2.0306e+53,2.0306e+53,2.0306e+53,5.7296e+04,3.1831e+07,3.1831e+10,3.5440e+48,6.3793e+45,6.3793e+42
1.4940e+03,1.9390e+53,1.9390e+53,1.9390e+53,5.7296e+04,3.1831e+07,3.1831e+10,3.3842e+48,6.0916e+45,6.0916e+42
1.5289e+03,1.8516e+53,1.8516e+53,1.8516e+53,5.7296e+04,3.1831e+07,3.1831e+10,3.2316e+48,5.8169e+45,5.8169e+42
1.5645e+03,1.7681e+53,1.7681e+53,1.7681e+53,5.7296e+04,3.1831e+07,3.1831e+10,3.0859e+48,5.5546e+45,5.5546e+42
1.6011e+03,1.6883e+53,1.6883e+53,1.6883e+53,5.7296e+04,3.1831e+07,3.1831e+10,2.9467e+48,5.3041e+45,5.3041e+42
1.6384e+03,1.6122e+53,1.6122e+53,1.6122e+53,5.7296e+04,3.1831e+07,3.1831e+10,2.8138e+48,5.0649e+45,5.0649e+42
1.6767e+03,1.5395e+53,1.5395e+53,1.5395e+53,5.7296e+04,3.1831e+07,3.1831e+10,2.6869e+48,4.8365e+45,4.8365e+42
1.7158e+03,1.4701e+53,1.4701e+53,1.4701e+53,5.7296e+04,3.1831e+07,3.1831e+10,2.5658e+48,4.6184e+45,4.6184e+42
1.7559e+03,1.4038e+53,1.4038e+53,1.4038e+53,5.7296e+04,3.1831e+07,3.1831e+10,2.4501e+48,4.4101e+45,4.4101e+42
1.7968e+03,1.3405e+53,1.3405e+53,1.3405e+53,5.7296e+04,3.1831e+07,3.1831e+10,2.3396e+48,4.2112e+45,4.2112e+42
1.8388e+03,1.2800e+53,1.2800e+53,1.2800e+53,5.7296e+04,3.1831e+07,3.1831e+10,2.2341e+48,4.0213e+45,4.0213e+42
1.8817e+03,1.2223e+53,1.2223e+53,1.2223e+53,5.7296e+04,3.1831e+07,3.1831e+10,2.1333e+48,3.8400e+45,3.8400e+42
1.9256e+03,1.1672e+53,1.1672e+53,1.1672e+53,5.7296e+04,3.1831e+07,3.1831e+10,2.0371e+48,3.6668e+45,3.6668e+42
1.9706e+03,1.1146e+53,1.1146e+53,1.1146e+53,5.7296e+04,3.1831e+07,3.1831e+10,1.9453e+48,3.5015e+45,3.5015e+42
2.0166e+03,1.0643e+53,1.0643e+53,1.0643e+53,5.7296e+04,3.1831e+07,3.1831e+10,1.8575e+48,3.3436e+45,3.3436e+42
2.0636e+03,1.0163e+53,1.0163e+53,1.0163e+53,5.7296e+04,3.1831e+07,3.1831e+10,1.7738e+48,3.1928e+45,3.1928e+42
2.1118e+03,9.7047e+52,9.7047e+52,9.7047e+52,5.7296e+04,3.1831e+07,3.1831e+10,1.6938e+48,3.0488e+45,3.0488e+42
2.1611e+03,9.2670e+52,9.2670e+52,9.2670e+52,5.7296e+04,3.1831e+07,3.1831e+10,1.6174e+48,2.9113e+45,2.9113e+42
2.2115e+03,8.8491e+52,8.8491e+52,8.8491e+52,5.7296e+04,3.1831e+07,3.1831e+10,1.5445e+48,2.7800e+45,2.7800e+42
2.2631e+03,8.4501e+52,8.4501e+52,8.4501e+52,5.7296e+04,3.1831e+07,3.1831e+10,1.4748e+48,2.6547e+45,2.6547e+42
2.3160e+03,8.0690e+52,8.0690e+52,8.0690e+52,5.7296e+04,3.1831e+07,3.1831e+10,1.4083e+48,2.5350e+45,2.5350e+42
2.3700e+03,7.7051e+52,7.7051e+52,7.7051e+52,5.7296e+04,3.1831e+07,3.1831e+10,1.3448e+48,2.4206e+45,2.4206e+42
2.4253e+03,7.3577e+52,7.3577e+52,7.3577e+52,5.7296e+04,3.1831e+07,3.1831e+10,1.2842e+48,2.3115e+45,2.3115e+42
2.4819e+03,7.0259e+52,7.0259e+52,7.0259e+52,5.7296e+04,3.1831e+07,3.1831e+10,1.2262e+48,2.2072e+45,2.2072e+42
2.5399e+03,6.7090e+52,6.7090e+52,6.7090e+52,5.7296e+04,3.1831e+07,3.1831e+10,1.1709e+48,2.1077e+45,2.1077e+42
2.5991e+03,6.4065e+52,6.4065e+52,6.4065e+52,5.7296e+04,3.1831e+07,3.1831e+10,1.1181e+48,2.0127e+45,2.0127e+42
2.6598e+03,6.1176e+52,6.1176e+52,6.1176e+52,5.7296e+04,3.1831e+07,3.1831e+10,1.0677e+48,1.9219e+45,1.9219e+42
2.7219e+03,5.8417e+52,5.8417e+52,5.8417e+52,5.7296e+04,3.1831e+07,3.1831e+10,1.0196e+48,1.8352e+45,1.8352e+42
2.7854e+03,5.5783e+52,5.5783e+52,5.5783e+52,5.7296e+04,3.1831e+07,3.1831e+10,9.7359e+47,1.7525e+45,1.7525e+42
2.8504e+03,5.3267e+52,5.3267e+52,5.3267e+52,5.7296e+04,3.1831e+07,3.1831e+10,9.2969e+47,1.6734e+45,1.6734e+42
2.9170e+03,5.0865e+52,5.0865e+52,5.0865e+52,5.7296e+04,3.1831e+07,3.1831e+10,8.8776e+47,1.5980e+45,1.5980e+42
2.9850e+03,4.8571e+52,4.8571e+52,4.8571e+52,5.7296e+04,3.1831e+07,3.1831e+10,8.4773e+47,1.5259e+45,1.5259e+42
3.0547e+03,4.6381e+52,4.6381e+52,4.6381e+52,5.7296e+04,3.1831e+07,3.1831e+10,8.0950e+47,1.4571e+45,1.4571e+42
3.1260e+03,4.4289e+52,4.4289e+52,4.4289e+52,5.7296e+04,3.1831e+07,3.1831e+10,7.7299e+47,1.3914e+45,1.3914e+42
3.1990e+03,4.2292e+52,4.2292e+52,4.2292e+52,5.7296e+04,3.1831e+07,3.1831e+10,7.3814e+47,1.3286e+45,1.3286e+42
3.2736e+03,4.0385e+52,4.0385e+52,4.0385e+52,5.7296e+04,3.1831e+07,3.1831e+10,7.0485e+47,1.2687e+45,1.2687e+42
3.3500e+03,3.8564e+52,3.8564e+52,3.8564e+52,5.7296e+04,3.1831e+07,3.1831e+10,6.7306e+47,1.2115e+45,1.2115e+42
3.4282e+03,3.6825e+52,3.6825e+52,3.6825e+52,5.7296e+04,3.1831e+07,3.1831e+10,6.4271e+47,1.1569e+45,1.1569e+42
3.5082e+03,3.5164e+52,3.5164e+52,3.5164e+52,5.7296e+04,3.1831e+07,3.1831e+10,6.1373e+47,1.1047e+45,1.1047e+42
3.5901e+03,3.3578e+52,3.3578e+52,3.3578e+52,5.7296e+04,3.1831e+07,3.1831e+10,5.8605e+47,1.0549e+45,1.0549e+42
3.6739e+03,3.2064e+52,3.2064e+52,3.2064e+52,5.7296e+04,3.1831e+07,3.1831e+10,5.5962e+47,1.0073e+45,1.0073e+42
3.7597e+03,3.0618e+52,3.0618e+52,3.0618e+52,5.7296e+04,3.1831e+07,3.1831e+10,5.3439e+47,9.6190e+44,9.6190e+41
3.8474e+03,2.9237e+52,2.9237e+52,2.9237e+52,5.7296e+04,3.1831e+07,3.1831e+10,5.1029e+47,9.1852e+44,9.1852e+41
3.9372e+03,2.7919e+52,2.7919e+52,2.7919e+52,5.7296e+04,3.1831e+07,3.1831e+10,4.8728e+47,8.7710e+44,8.7710e+41
4.0291e+03,2.6660e+52,2.6660e+52,2.6660e+52,5.7296e+04,3.1831e+07,3.1831e+10,4.6530e+47,8.3754e+44,8.3754e+41
4.1232e+03,2.5458e+52,2.5458e+52,2.5458e+52,5.7296e+04,3.1831e+07,3.1831e+10,4.4432e+47,7.9977e+44,7.9977e+41
4.2194e+03,2.4310e+52,2.4310e+52,2.4310e+52,5.7296e+04,3.1831e+07,3.1831e+10,4.2428e+47,7.6371e+44,7.6371e+41
4.3179e+03,2.3213e+52,2.3213e+52,2.3213e+52,5.7296e+04,3.1831e+07,3.1831e+10,4.0515e+47,7.2927e+44,7.2927e+41
4.4187e+03,2.2167e+52,2.2167e+52,2.2167e+52,5.7296e+04,3.1831e+07,3.1831e+10,3.8688e+47,6.9638e+44,6.9638e+41
4.5218e+03,2.1167e+52,2.1167e+52,2.1167e+52,5.7296e+04,3.1831e+07,3.1831e+10,3.6943e+47,6.6498e+44,6.6498e+41
4.6273e+03,2.0212e+52,2.0212e+52,2.0212e+52,5.7296e+04,3.1831e+07,3.1831e+10,3.5277e+47,6.3499e+44,6.3499e+41
4.7353e+03,1.9301e+52,1.9301e+52,1.9301e+52,5.7296e+04,3.1831e+07,3.1831e+10,3.3686e+47,6.0636e+44,6.0636e+41
4.8459e+03,1.8431e+52,1.8431e+52,1.8431e+52,5.7296e+04,3.1831e+07,3.1831e+10,3.2167e+47,5.7901e+44,5.7901e+41
4.9590e+03,1.7599e+52,1.7599e+52,1.7599e+52,5.7296e+04,3.1831e+07,3.1831e+10,3.0717e+47,5.5290e+44,5.5290e+41
5.0747e+03,1.6806e+52,1.6806e+52,1.6806e+52,5.7296e+04,3.1831e+07,3.1831e+10,2.9332e+47,5.2797e+44,5.2797e+41
5.1931e+03,1.6048e+52,1.6048e+52,1.6048e+52,5.7296e+04,3.1831e+07,3.1831e+10,2.8009e+47,5.0416e+44,5.0416e+41
5.3144e+03,1.5324e+52,1.5324e+52,1.5324e+52,5.7296e+04,3.1831e+07,3.1831e+10,2.6746e+47,4.8142e+44,4.8142e+41
5.4384e+03,1.4633e+52,1.4633e+52,1.4633e+52,5.7296e+04,3.1831e+07,3.1831e+10,2.5540e+47,4.5971e+44,4.5971e+41
5.5653e+03,1.3973e+52,1.3973e+52,1.3973e+52,5.7296e+04,3.1831e+07,3.1831e+10,2.4388e+47,4.3898e+44,4.3898e+41
5.6952e+03,1.3343e+52,1.3343e+52,1.3343e+52,5.7296e+04,3.1831e+07,3.1831e+10,2.3288e+47,4.1919e+44,4.1919e+41
5.8282e+03,1.2741e+52,1.2741e+52,1.2741e+52,5.7296e+04,3.1831e+07,3.1831e+10,2.2238e+47,4.0028e+44,4.0028e+41
5.9642e+03,1.2167e+52,1.2167e+52,1.2167e+52,5.7296e+04,3.1831e+07,3.1831e+10,2.1235e+47,3.8223e+44,3.8223e+41
6.1034e+03,1.1618e+52,1.1618e+52,1.1618e+52,5.7296e+04,3.1831e+07,3.1831e+10,2.0277e+47,3.6499e+44,3.6499e+41
6.2458e+03,1.1094e+52,1.1094e+52,1.1094e+52,5.7296e+04,3.1831e+07,3.1831e+10,1.9363e+47,3.4853e+44,3.4853e+41
6.3916e+03,1.0594e+52,1.0594e+52,1.0594e+52,5.7296e+04,3.1831e+07,3.1831e+10,1.8490e+47,3.3282e+44,3.3282e+41
6.5408e+03,1.0116e+52,1.0116e+52,1.0116e+52,5.7296e+04,3.1831e+07,3.1831e+10,1.7656e+47,3.1781e+44,3.1781e+41
6.6935e+03,9.6600e+51,9.6600e+51,9.6600e+51,5.7296e+04,3.1831e+07,3.1831e+10,1.6860e+47,3.0348e+44,3.0348e+41
6.8497e+03,9.2244e+51,9.2244e+51,9.2244e+51,5.7296e+04,3.1831e+07,3.1831e+10,1.6100e+47,2.8979e+44,2.8979e+41
7.0096e+03,8.8084e+51,8.8084e+51,8.8084e+51,5.7296e+04,3.1831e+07,3.1831e+10,1.5374e+47,2.7672e+44,2.7672e+41
7.1732e+03,8.4112e+51,8.4112e+51,8.4112e+51,5.7296e+04,3.1831e+07,3.1831e+10,1.4680e+47,2.6424e+44,2.6424e+41
7.3406e+03,8.0319e+51,8.0319e+51,8.0319e+51,5.7296e+04,3.1831e+07,3.1831e+10,1.4018e+47,2.5233e+44,2.5233e+41
7.5119e+03,7.6697e+51,7.6697e+51,7.6697e+51,5.7296e+04,3.1831e+07,3.1831e+10,1.3386e+47,2.4095e+44,2.4095e+41
7.6873e+03,7.3238e+51,7.3238e+51,7.3238e+51,5.7296e+04,3.1831e+07,3.1831e+10,1.2782e+47,2.3008e+44,2.3008e+41
7.8667e+03,6.9935e+51,6.9935e+51,6.9935e+51,5.7296e+04,3.1831e+07,3.1831e+10,1.2206e+47,2.1971e+44,2.1971e+41
8.0503e+03,6.6781e+51,6.6781e+51,6.6781e+51,5.7296e+04,3.1831e+07,3.1831e+10,1.1656e+47,2.0980e+44,2.0980e+41
8.2382e+03,6.3770e+51,6.3770e+51,6.3770e+51,5.7296e+04,3.1831e+07,3.1831e+10,1.1130e+47,2.0034e+44,2.0034e+41
8.4305e+03,6.0894e+51,6.0894e+51,6.0894e+51,5.7296e+04,3.1831e+07,3.1831e+10,1.0628e+47,1.9130e+44,1.9130e+41
8.6272e+03,5.8148e+51,5.8148e+51,5.8148e+51,5.7296e+04,3.1831e+07,3.1831e+10,1.0149e+47,1.8268e+44,1.8268e+41
8.8286e+03,5.5526e+51,5.5526e+51,5.5526e+51,5.7296e+04,3.1831e+07,3.1831e+10,9.6911e+46,1.7444e+44,1.7444e+41
9.0347e+03,5.3022e+51,5.3022e+51,5.3022e+51,5.7296e+04,3.1831e+07,3.1831e+10,9.2541e+46,1.6657e+44,1.6657e+41
9.2455e+03,5.0631e+51,5.0631e+51,5.0631e+51,5.7296e+04,3.1831e+07,3.1831e+10,8.8367e+46,1.5906e+44,1.5906e+41
9.4613e+03,4.8348e+51,4.8348e+51,4.8348e+51,5.7296e+04,3.1831e+07,3.1831e+10,8.4382e+46,1.5189e+44,1.5189e+41
9.6822e+03,4.6167e+51,4.6167e+51,4.6167e+51,5.7296e+04,3.1831e+07,3.1831e+10,8.0577e+46,1.4504e+44,1.4504e+41
9.9081e+03,4.4085e+51,4.4085e+51,4.4085e+51,5.7296e+04,3.1831e+07,3.1831e+10,7.6944e+46,1.3850e+44,1.3850e+41
1.0139e+04,4.2097e+51,4.2097e+51,4.2097e+51,5.7296e+04,3.1831e+07,3.1831e+10,7.3474e+46,1.3225e+44,1.3225e+41
1.0376e+04,4.0199e+51,4.0199e+51,4.0199e+51,5.7296e+04,3.1831e+07,3.1831e+10,7.0160e+46,1.2629e+44,1.2629e+41
1.0618e+04,3.8386e+51,3.8386e+51,3.8386e+51,5.7296e+04,3.1831e+07,3.1831e+10,6.6996e+46,1.2059e+44,1.2059e+41
1.0866e+04,3.6655e+51,3.6655e+51,3.6655e+51,5.7296e+04,3.1831e+07,3.1831e+10,6.3975e+46,1.1516e+44,1.1516e+41
1.1120e+04,3.5002e+51,3.5002e+51,3.5002e+51,5.7296e+04,3.1831e+07,3.1831e+10,6.1090e+46,1.0996e+44,1.0996e+41
1.1379e+04,3.3424e+51,3.3424e+51,3.3424e+51,5.7296e+04,3.1831e+07,3.1831e+10,5.8335e+46,1.0500e+44,1.0500e+41
1.1645e+04,3.1916e+51,3.1916e+51,3.1916e+51,5.7296e+04,3.1831e+07,3.1831e+10,5.5705e+46,1.0027e+44,1.0027e+41
1.1917e+04,3.0477e+51,3.0477e+51,3.0477e+51,5.7296e+04,3.1831e+07,3.1831e+10,5.3193e+46,9.5747e+43,9.5747e+40
1.2195e+04,2.9103e+51,2.9103e+51,2.9103e+51,5.7296e+04,3.1831e+07,3.1831e+10,5.0794e+46,9.1429e+43,9.1429e+40
1.2479e+04,2.7790e+51,2.7790e+51,2.7790e+51,5.7296e+04,3.1831e+07,3.1831e+10,4.8503e+46,8.7306e+43,8.7306e+40
1.2771e+04,2.6537e+51,2.6537e+51,2.6537e+51,5.7296e+04,3.1831e+07,3.1831e+10,4.6316e+46,8.3369e+43,8.3369e+40
1.3069e+04,2.5340e+51,2.5340e+51,2.5340e+51,5.7296e+04,3.1831e+07,3.1831e+10,4.4227e+46,7.9609e+43,7.9609e+40
1.3374e+04,2.4198e+51,2.4198e+51,2.4198e+51,5.7296e+04,3.1831e+07,3.1831e+10,4.2233e+46,7.6019e+43,7.6019e+40
1.3686e+04,2.3106e+51,2.3106e+51,2.3106e+51,5.7296e+04,3.1831e+07,3.1831e+10,4.0328e+46,7.2591e+43,7.2591e+40
1.4005e+04,2.2064e+51,2.2064e+51,2.2064e+51,5.7296e+04,3.1831e+07,3.1831e+10,3.8510e+46,6.9318e+43,6.9318e+40
1.4332e+04,2.1069e+51,2.1069e+51,2.1069e+51,5.7296e+04,3.1831e+07,3.1831e+10,3.6773e+46,6.6192e+43,6.6192e+40
1.4667e+04,2.0119e+51,2.0119e+51,2.0119e+51,5.7296e+04,3.1831e+07,3.1831e+10,3.5115e+46,6.3207e+43,6.3207e+40
1.5009e+04,1.9212e+51,1.9212e+51,1.9212e+51,5.7296e+04,3.1831e+07,3.1831e+10,3.3531e+46,6.0356e+43,6.0356e+40
1.5359e+04,1.8346e+51,1.8346e+51,1.8346e+51,5.7296e+04,3.1831e+07,3.1831e+10,3.2019e+46,5.7635e+43,5.7635e+40
1.5718e+04,1.7518e+51,1.7518e+51,1.7518e+51,5.7296e+04,3.1831e+07,3.1831e+10,3.0575e+46,5.5036e+43,5.5036e+40
1.6085e+04,1.6728e+51,1.6728e+51,1.6728e+51,5.7296e+04,3.1831e+07,3.1831e+10,2.9196e+46,5.2554e+43,5.2554e+40
1.6460e+04,1.5974e+51,1.5974e+51,1.5974e+51,5.7296e+04,3.1831e+07,3.1831e+10,2.7880e+46,5.0184e+43,5.0184e+40
1.6844e+04,1.5254e+51,1.5254e+51,1.5254e+51,5.7296e+04,3.1831e+07,3.1831e+10,2.6623e+46,4.7921e+43,4.7921e+40
1.7237e+04,1.4566e+51,1.4566e+51,1.4566e+51,5.7296e+04,3.1831e+07,3.1831e+10,2.5422e+46,4.5760e+43,4.5760e+40
1.7640e+04,1.3909e+51,1.3909e+51,1.3909e+51,5.7296e+04,3.1831e+07,3.1831e+10,2.4276e+46,4.3696e+43,4.3696e+40
1.8051e+04,1.3282e+51,1.3282e+51,1.3282e+51,5.7296e+04,3.1831e+07,3.1831e+10,2.3181e+46,4.1726e+43,4.1726e+40
1.8473e+04,1.2683e+51,1.2683e+51,1.2683e+51,5.7296e+04,3.1831e+07,3.1831e+10,2.2136e+46,3.9844e+43,3.9844e+40
1.8904e+04,1.2111e+51,1.2111e+51,1.2111e+51,5.7296e+04,3.1831e+07,3.1831e+10,2.1137e+46,3.8047e+43,3.8047e+40
1.9345e+04,1.1565e+51,1.1565e+51,1.1565e+51,5.7296e+04,3.1831e+07,3.1831e+10,2.0184e+46,3.6331e+43,3.6331e+40
1.9797e+04,1.1043e+51,1.1043e+51,1.1043e+51,5.7296e+04,3.1831e+07,3.1831e+10,1.9274e+46,3.4693e+43,3.4693e+40
2.0259e+04,1.0545e+51,1.0545e+51,1.0545e+51,5.7296e+04,3.1831e+07,3.1831e+10,1.8405e+46,3.3129e+43,3.3129e+40
2.0732e+04,1.0070e+51,1.0070e+51,1.0070e+51,5.7296e+04,3.1831e+07,3.1831e+10,1.7575e+46,3.1635e+43,3.1635e+40
2.1216e+04,9.6155e+50,9.6155e+50,9.6155e+50,5.7296e+04,3.1831e+07,3.1831e+10,1.6782e+46,3.0208e+43,3.0208e+40
2.1711e+04,9.1819e+50,9.1819e+50,9.1819e+50,5.7296e+04,3.1831e+07,3.1831e+10,1.6025e+46,2.8846e+43,2.8846e+40
2.2217e+04,8.7678e+50,8.7678e+50,8.7678e+50,5.7296e+04,3.1831e+07,3.1831e+10,1.5303e+46,2.7545e+43,2.7545e+40
2.2736e+04,8.3724e+50,8.3724e+50,8.3724e+50,5.7296e+04,3.1831e+07,3.1831e+10,1.4613e+46,2.6303e+43,2.6303e+40
2.3267e+04,7.9949e+50,7.9949e+50,7.9949e+50,5.7296e+04,3.1831e+07,3.1831e+10,1.3954e+46,2.5117e+43,2.5117e+40
2.3810e+04,7.6343e+50,7.6343e+50,7.6343e+50,5.7296e+04,3.1831e+07,3.1831e+10,1.3324e+46,2.3984e+43,2.3984e+40
2.4365e+04,7.2901e+50,7.2901e+50,7.2901e+50,5.7296e+04,3.1831e+07,3.1831e+10,1.2724e+46,2.2902e+43,2.2902e+40
2.4934e+04,6.9613e+50,6.9613e+50,6.9613e+50,5.7296e+04,3.1831e+07,3.1831e+10,1.2150e+46,2.1870e+43,2.1870e+40
2.5516e+04,6.6474e+50,6.6474e+50,6.6474e+50,5.7296e+04,3.1831e+07,3.1831e+10,1.1602e+46,2.0883e+43,2.0883e+40
2.6112e+04,6.3476e+50,6.3476e+50,6.3476e+50,5.7296e+04,3.1831e+07,3.1831e+10,1.1079e+46,1.9942e+43,1.9942e+40
2.6721e+04,6.0614e+50,6.0614e+50,6.0614e+50,5.7296e+04,3.1831e+07,3.1831e+10,1.0579e+46,1.9042e+43,1.9042e+40
