Zugnummer;Zug;Ergebnis
3;Nf3;1-0
4;Nc6;1-0
5;Bb5;1-0
6;a6;1-0
7;Ba4;1-0
8;Nf6;1-0
9;O-O;1-0
10;g5;1-0
11;d4;1-0
12;h6;1-0
13;Nxe5;1-0
14;Nxe5;1-0
15;dxe5;1-0
16;Nxe4;1-0
17;b4;1-0
18;a5;1-0
19;Bb3;1-0
20;d5;1-0
21;f3;1-0
22;Nd6;1-0
23;Qd4;1-0
24;Rb8;1-0
25;exd6;1-0
26;axb4;1-0
27;Qxh8;1-0
28;Be6;1-0
29;Be3;1-0
30;Ra8;1-0
31;Nd2;1-0
32;Qxd6;1-0
33;Rad1;1-0
34;f5;1-0
35;Rfe1;1-0
36;b5;1-0
37;Qa1;1-0
38;Kf7;1-0
39;Bf2;1-0
40;c5;1-0
41;Qh8;1-0
42;Rd8;1-0
43;Qh7+;1-0
44;Bg7;1-0
45;Nf1;1-0
46;Qf8;1-0
47;Ng3;1-0
48;c4;1-0
49;Nh5;1-0
50;Qh8;1-0
51;Qxg7+;1-0
52;Qxg7;1-0
53;Nxg7;1-0
54;Bc8;1-0
55;Bb6;1-0
56;Rg8;1-0
57;Nxf5;1-0
58;Bxf5;1-0
59;Rxd5;1-0
60;Be6;1-0
61;Rc5;1-0
62;Re8;1-0
63;Rc7+;1-0
64;Kg6;1-0
65;Rc6;1-0
66;Kf7;1-0
67;Rc7+;1-0
68;Re7;1-0
69;f4;1-0
70;gxf4;1-0
71;Rxe6;1-0
72;Kxe6;1-0
73;Rxe7+;1-0
74;Kxe7;1-0
75;Kf2;1-0
76;h5;1-0
77;Kf3;1-0
78;cxb3;1-0
79;axb3;1-0
80;Ke6;1-0
81;Kxf4;1-0
82;Kf6;1-0
83;Ba5;1-0
84;Ke7;1-0
85;h4;1-0
86;Kd6;1-0
87;Kg5;1-0
88;Kc5;1-0
89;Kxh5;1-0
90;Kd4;1-0
91;g4;1-0
92;Kc3;1-0
93;g5;1-0
94;Kxc2;1-0
95;Bxb4;1-0
96;Kxb3;1-0
97;Be7;1-0
98;Kc4;1-0
99;g6;1-0
100;Kd4;1-0
101;g7;1-0
102;b4;1-0
103;Bxb4;1-0
104;Ke3;1-0
105;g8=Q;1-0
106;Kd4;1-0
107;Qb3;1-0
108;Ke4;1-0
109;Qc4+;1-0
110;Ke5;1-0
111;Be7;1-0
112;Kf5;1-0
113;Bg5;1-0
114;Ke5;1-0
115;Be7;1-0
116;Kf5;1-0
117;Qe2;1-0
118;Kf4;1-0
119;Bd6+;1-0
120;Kf5;1-0
121;Qe5#;1-0
1;f3;0-1
2;Nf6;0-1
3;d4;0-1
4;d5;0-1
5;e4;0-1
6;dxe4;0-1
7;Nc3;0-1
8;Nd5;0-1
9;b4;0-1
10;Nxc3;0-1
11;g3;0-1
12;Nxd1;0-1
13;Bg5;0-1
14;Nf2;0-1
15;Bd3;0-1
16;Bf5;0-1
17;fxe4;0-1
18;Bxe4;0-1
19;Kxf2;0-1
20;Qxd4+;0-1
21;Ke2;0-1
22;f5;0-1
23;Nf3;0-1
24;Qd5;0-1
25;Rhd1;0-1
26;Bxf3+;0-1
27;Kf2;0-1
28;Bxd1;0-1
29;Rxd1;0-1
30;e5;0-1
31;Rf1;0-1
32;Bxb4;0-1
33;h4;0-1
34;Nc6;0-1
35;Kg1;0-1
36;e4;0-1
37;Be2;0-1
38;Rc8;0-1
39;Be7;0-1
40;Bxe7;0-1
41;Rf2;0-1
42;Nd4;0-1
43;Bh5+;0-1
44;g6;0-1
45;Bd1;0-1
46;Rf8;0-1
47;c4;0-1
48;Qc6;0-1
49;h5;0-1
50;Rd8;0-1
51;Rf1;0-1
52;g5;0-1
53;Be2;0-1
54;Nxe2+;0-1
55;Kh1;0-1
56;e3+;0-1
57;Kh2;0-1
58;Rd2;0-1
59;a3;0-1
60;Nd4+;0-1
61;Rf2;0-1
62;Rxf2+;0-1
63;Kg1;0-1
64;Qg2#;0-1
1;e4;0-1
2;d6;0-1
3;d4;0-1
4;e5;0-1
5;Nf3;0-1
6;exd4;0-1
7;Nxd4;0-1
8;Nc6;0-1
9;Nc3;0-1
10;Be7;0-1
11;Bf4;0-1
12;Bf8;0-1
13;Nxc6;0-1
14;bxc6;0-1
15;g4;0-1
16;Rb8;0-1
17;Bc4;0-1
18;Ne7;0-1
19;Bg3;0-1
20;Ng6;0-1
21;f4;0-1
22;Rxb2;0-1
23;Qd3;0-1
24;Bxg4;0-1
25;Qxd6;0-1
26;Bxd6;0-1
27;O-O;0-1
28;Be2;0-1
29;Nxe2;0-1
30;Rxc2;0-1
31;Ba6;0-1
32;Bxf4;0-1
33;Rad1;0-1
34;Be3+;0-1
35;Kh1;0-1
36;Qe7;0-1
37;Bd3;0-1
38;Kf8;0-1
39;Bxc2;0-1
40;h5;0-1
41;e5;0-1
42;Nxe5;0-1
43;Be1;0-1
44;Rh6;0-1
45;Rd3;0-1
46;Nxd3;0-1
47;Bxd3;0-1
48;Rf6;0-1
49;Rxf6;0-1
50;Qxf6;0-1
51;Kg2;0-1
52;Qg5+;0-1
53;Ng3;0-1
54;Bb6;0-1
55;Bb4+;0-1
56;c5;0-1
57;Bc3;0-1
58;h4;0-1
59;a4;0-1
60;hxg3;0-1
61;a5;0-1
62;Bxa5;0-1
63;Bxa5;0-1
64;Qd8;0-1
65;Be2;0-1
66;Qd5+;0-1
67;Kxg3;0-1
68;Qa2;0-1
69;Bxc7;0-1
70;Qxe2;0-1
71;Bd6+;0-1
72;Ke8;0-1
73;Be7;0-1
74;Kxe7;0-1
75;Kh4;0-1
76;Qg2;0-1
77;Kh5;0-1
78;Kf6;0-1
79;Kh4;0-1
80;Kf5;0-1
81;h3;0-1
82;Qg5#;0-1
1;e4;0-1
2;c5;0-1
3;Nf3;0-1
4;d6;0-1
5;d4;0-1
6;cxd4;0-1
7;Nxd4;0-1
8;Nf6;0-1
9;Nc3;0-1
10;a6;0-1
11;Nf5;0-1
12;e6;0-1
13;Nd4;0-1
14;Qe7;0-1
15;g4;0-1
16;Nfd7;0-1
17;Be3;0-1
18;b5;0-1
19;Qd2;0-1
20;Ne5;0-1
21;Be2;0-1
22;Qc7;0-1
23;O-O-O;0-1
24;Nbc6;0-1
25;f4;0-1
26;Nf3;0-1
27;Nxf3;0-1
28;Qa5;0-1
29;Nd4;0-1
30;Nxd4;0-1
31;Qxd4;0-1
32;h6;0-1
33;Qe5;0-1
34;dxe5;0-1
35;fxe5;0-1
36;b4;0-1
37;Nb1;0-1
38;Bd7;0-1
39;g5;0-1
40;hxg5;0-1
41;Nd2;0-1
42;Qb5;0-1
43;Bxb5;0-1
44;axb5;0-1
45;Bxg5;0-1
46;Be7;0-1
47;Rhg1;0-1
48;Bc6;0-1
49;Bxe7;0-1
50;Kxe7;0-1
51;Rxg7;0-1
52;Rxh2;0-1
53;Rf1;0-1
54;Be8;0-1
55;b3;0-1
56;Rc8;0-1
57;Rg3;0-1
58;Re2;0-1
59;Rd3;0-1
60;Rc5;0-1
61;Rd4;0-1
62;Rxe5;0-1
63;Nc4;0-1
64;bxc4;0-1
65;Rxc4;0-1
66;R2xe4;0-1
67;Rc7+;0-1
68;Kd6;0-1
69;Rb7;0-1
70;f5;0-1
71;a3;0-1
72;bxa3;0-1
73;Rd1+;0-1
74;Rd5;0-1
75;Rh1;0-1
76;Re2;0-1
77;Ra7;0-1
78;Ke5;0-1
79;Rd7;0-1
80;Rxd7;0-1
81;Kb1;0-1
82;Rg7;0-1
83;Ka2;0-1
84;Ba4;0-1
85;bxa4;0-1
86;Rd2;0-1
87;Re1+;0-1
88;Kf6;0-1
89;Kb3;0-1
90;f4;0-1
91;Rc1;0-1
92;Rg3+;0-1
93;c3;0-1
94;a2;0-1
95;a5;0-1
96;Kf5;0-1
97;Re1;0-1
98;e5;0-1
99;Rg1;0-1
100;Rxg1;0-1
101;c4;0-1
102;a1=Q;0-1
103;Kb4;0-1
104;Rb1+;0-1
105;Kc5;0-1
106;Qd4+;0-1
107;Kc6;0-1
108;Qxc4#;0-1
1;e4;1-0
2;c5;1-0
3;Nf3;1-0
4;Nc6;1-0
5;Bb5;1-0
6;e6;1-0
7;O-O;1-0
8;Nge7;1-0
9;Re1;1-0
10;a6;1-0
11;Bf1;1-0
12;Na7;1-0
13;a4;1-0
14;d5;1-0
15;d3;1-0
16;Nac6;1-0
17;Nbd2;1-0
18;b6;1-0
19;c3;1-0
20;Bb7;1-0
21;Rb1;1-0
22;d4;1-0
23;h4;1-0
24;Nc8;1-0
25;e5;1-0
26;N8e7;1-0
27;Nc4;1-0
28;Nf5;1-0
29;Bd2;1-0
30;Bd6;1-0
31;Nxd6+;1-0
32;Nxd6;1-0
33;exd6;1-0
34;Qxd6;1-0
35;cxd4;1-0
36;Nxd4;1-0
37;Nxd4;1-0
38;Qxd4;1-0
39;Qe2;1-0
40;Qd5;1-0
41;b4;1-0
42;cxb4;1-0
43;Qe4;1-0
44;Qxe4;1-0
45;dxe4;1-0
46;O-O-O;1-0
47;Bxb4;1-0
48;Kc7;1-0
49;Rec1+;1-0
50;Kb8;1-0
51;f3;1-0
52;f6;1-0
53;Bc3;1-0
54;Ka7;1-0
55;Be1;1-0
56;Rc8;1-0
57;Rd1;1-0
58;Rhd8;1-0
59;Bxa6;1-0
60;Kxa6;1-0
61;h5;1-0
62;Bc6;1-0
63;Rxd8;1-0
64;Rxd8;1-0
65;Bf2;1-0
66;Rb8;1-0
67;Rb4;1-0
68;g6;1-0
69;Rd4;1-0
70;f5;1-0
71;exf5;1-0
72;exf5;1-0
73;h6;1-0
74;g5;1-0
75;Kh2;1-0
76;g4;1-0
77;Rd7;1-0
78;Bxd7;1-0
79;a5;1-0
80;bxa5;1-0
81;Bd4;1-0
82;Rb2;1-0
83;Bxb2;1-0
84;Kb7;1-0
85;fxg4;1-0
86;fxg4;1-0
87;Kg3;1-0
88;Kc6;1-0
89;Kf4;1-0
90;Kd5;1-0
91;Bf6;1-0
92;g3;1-0
93;Kxg3;1-0
94;Bb5;1-0
95;Kh2;1-0
96;Ke4;1-0
97;Kg3;1-0
98;a4;1-0
99;Be7;1-0
100;Kd3;1-0
101;Kf2;1-0
102;Kc2;1-0
103;Ke3;1-0
104;a3;1-0
105;Bxa3;1-0
106;Bc6;1-0
107;g3;1-0
108;Be8;1-0
109;Be7;1-0
110;Bd7;1-0
111;Kf4;1-0
112;Kd3;1-0
113;g4;1-0
114;Be8;1-0
115;Bc5;1-0
116;Bg6;1-0
117;Kg5;1-0
118;Kc3;1-0
119;Bg1;1-0
120;Bf7;1-0
121;Ba7;1-0
122;Be6;1-0
123;Kf4;1-0
124;Kd3;1-0
125;g5;1-0
126;Bf7;1-0
127;Bc5;1-0
128;Bg6;1-0
129;Be7;1-0
130;Be8;1-0
131;Bd6;1-0
132;Kd4;1-0
133;Be5+;1-0
134;Kc5;1-0
135;Ke3;1-0
136;Bg6;1-0
137;Bf4;1-0
138;Bf7;1-0
139;Bd6+;1-0
140;Kc4;1-0
141;Ke4;1-0
142;Bg6+;1-0
143;Kf3;1-0
144;Kd3;1-0
145;Bc7;1-0
146;Bh5+;1-0
147;Kf2;1-0
148;Be8;1-0
149;Kf3;1-0
