Zugnummer;Zug;Ergebnis
50;exd4;1/2-1/2
51;exd4;1/2-1/2
52;Rae8;1/2-1/2
53;Rxf7;1/2-1/2
54;Rxe4;1/2-1/2
55;b3;1/2-1/2
56;Rg7;1/2-1/2
57;Rf6+;1/2-1/2
58;Kg5;1/2-1/2
59;Rf8;1/2-1/2
60;Ne1;1/2-1/2
61;Kf1;1/2-1/2
62;Rge7;1/2-1/2
63;Rb2;1/2-1/2
64;Nd3;1/2-1/2
65;Rd2;1/2-1/2
66;Re1+;1/2-1/2
67;Kg2;1/2-1/2
68;R1e3;1/2-1/2
69;h4+;1/2-1/2
70;Kh6;1/2-1/2
71;Kh2;1/2-1/2
72;b6;1/2-1/2
73;Rf3;1/2-1/2
74;Rxf3;1/2-1/2
75;a3;1/2-1/2
76;Rf2+;1/2-1/2
77;Rxf2;1/2-1/2
78;Nxf2;1/2-1/2
79;Bf3;1/2-1/2
80;Nd3;1/2-1/2
81;g4;1/2-1/2
82;Rf7;1/2-1/2
83;g5+;1/2-1/2
84;Kg7;1/2-1/2
85;Kg3;1/2-1/2
86;Rf6;1/2-1/2
87;c5;1/2-1/2
88;Rf4;1/2-1/2
89;cxb6;1/2-1/2
90;Kg8;1/2-1/2
91;bxc7;1/2-1/2
92;Rf8;1/2-1/2
93;Bb7;1/2-1/2
94;Ne1;1/2-1/2
95;Bh1;1/2-1/2
96;Rc8;1/2-1/2
97;Bd5+;1/2-1/2
98;Kg7;1/2-1/2
99;h5;1/2-1/2
100;Rd8;1/2-1/2
101;Kh3;1/2-1/2
102;Rc8;1/2-1/2
103;h6+;1/2-1/2
104;Kg6;1/2-1/2
105;Bb7;1/2-1/2
106;Rxc7;1/2-1/2
107;Be4+;1/2-1/2
108;Kxg5;1/2-1/2
109;Bh7;1/2-1/2
110;Rb7;1/2-1/2
111;Bg8;1/2-1/2
112;Kxh6;1/2-1/2
113;b4;1/2-1/2
114;axb4;1/2-1/2
115;axb4;1/2-1/2
116;Nc2;1/2-1/2
117;Kh4;1/2-1/2
118;Re7;1/2-1/2
119;b5;1/2-1/2
120;Nxd4;1/2-1/2
121;b6;1/2-1/2
122;Rb7;1/2-1/2
123;Kg3;1/2-1/2
124;Rg7+;1/2-1/2
125;Kf4;1/2-1/2
126;Rg3;1/2-1/2
127;Kxg3;1/2-1/2
128;Nc6;1/2-1/2
129;Kf4;1/2-1/2
130;Kg7;1/2-1/2
131;Bd5;1/2-1/2
132;Nd8;1/2-1/2
133;Bf3;1/2-1/2
134;Kf6;1/2-1/2
135;Ke4;1/2-1/2
136;d5+;1/2-1/2
137;Kxd5;1/2-1/2
138;Ke7;1/2-1/2
139;Bg4;1/2-1/2
140;Nb7;1/2-1/2
141;Bc8;1/2-1/2
142;Nd6;1/2-1/2
143;Bg4;1/2-1/2
144;Nb7;1/2-1/2
145;Kc6;1/2-1/2
146;Na5+;1/2-1/2
147;Kb5;1/2-1/2
148;Nb7;1/2-1/2
149;Bc8;1/2-1/2
150;Nd6+;1/2-1/2
151;Kc5;1/2-1/2
152;Ne4+;1/2-1/2
153;Kc6;1/2-1/2
154;Nd6;1/2-1/2
155;Ba6;1/2-1/2
156;Ke6;1/2-1/2
157;Bb7;1/2-1/2
158;Nc4;1/2-1/2
159;Bc8+;1/2-1/2
160;Kf7;1/2-1/2
161;b7;1/2-1/2
162;Na5+;1/2-1/2
163;Kd5;1/2-1/2
164;Nxb7;1/2-1/2
165;Bxb7;1/2-1/2
1;g3;1-0
2;d5;1-0
3;Nf3;1-0
4;Nf6;1-0
5;Bg2;1-0
6;c5;1-0
7;d4;1-0
8;cxd4;1-0
9;O-O;1-0
10;a6;1-0
11;Nxd4;1-0
12;e5;1-0
13;Nb3;1-0
14;Be7;1-0
15;Bg5;1-0
16;Nbd7;1-0
17;c4;1-0
18;dxc4;1-0
19;N3d2;1-0
20;h6;1-0
21;Be3;1-0
22;Bf8;1-0
23;Nxc4;1-0
24;Qb6;1-0
25;Nxb6;1-0
26;Nxb6;1-0
27;Bxb6;1-0
28;Be6;1-0
29;Bxb7;1-0
30;Rb8;1-0
31;Bc7;1-0
32;h5;1-0
33;Bxb8;1-0
34;Bd7;1-0
35;Bxe5;1-0
36;h4;1-0
37;Nc3;1-0
38;Be7;1-0
39;Bf3;1-0
40;hxg3;1-0
41;hxg3;1-0
42;Ng4;1-0
43;Qxd7+;1-0
44;Kxd7;1-0
45;Bxg4+;1-0
46;Ke8;1-0
47;Rfc1;1-0
48;f6;1-0
49;Bf4;1-0
50;f5;1-0
51;Bxf5;1-0
52;g5;1-0
53;Rab1;1-0
54;gxf4;1-0
55;Bh3;1-0
56;fxg3;1-0
57;fxg3;1-0
58;Bh4;1-0
59;gxh4;1-0
60;Rxh4;1-0
61;Kg2;1-0
62;Rh5;1-0
63;Ne4;1-0
64;Rh6;1-0
65;Rc8+;1-0
66;Ke7;1-0
67;Rd1;1-0
68;Rh8;1-0
69;Rd7#;1-0
1;e4;0-1
2;e5;0-1
3;Na3;0-1
4;Bxa3;0-1
5;bxa3;0-1
6;Nf6;0-1
7;Bc4;0-1
8;Nc6;0-1
9;Bb2;0-1
10;Ng8;0-1
11;Kf1;0-1
12;Nf6;0-1
13;d3;0-1
14;O-O;0-1
15;Qd2;0-1
16;Nd4;0-1
17;Nf3;0-1
18;d5;0-1
19;exd5;0-1
20;Nxf3;0-1
21;gxf3;0-1
22;b5;0-1
23;a4;0-1
24;bxc4;0-1
25;Rg1;0-1
26;Ne8;0-1
27;h3;0-1
28;f6;0-1
29;dxc4;0-1
30;Nd6;0-1
31;Qc3;0-1
32;Nxc4;0-1
33;Qxc4;0-1
34;Bd7;0-1
35;Rg3;0-1
36;Qe7;0-1
37;f4;0-1
38;exf4;0-1
39;Re1;0-1
40;Qf7;0-1
41;Re7;0-1
42;Qxe7;0-1
43;Qxf4;0-1
44;Bc8;0-1
45;c4;0-1
46;Rf7;0-1
47;Kg1;0-1
48;Bf5;0-1
49;Ba1;0-1
50;Qe1+;0-1
51;Kh2;0-1
52;Qxa1;0-1
53;Qxf5;0-1
54;Qd4;0-1
55;Qc2;0-1
56;Re8;0-1
57;Kg1;0-1
58;Qa1+;0-1
59;Kg2;0-1
60;f5;0-1
61;Qc3;0-1
62;Qxc3;0-1
63;Rxc3;0-1
64;h6;0-1
65;a5;0-1
66;f4;0-1
67;c5;0-1
68;Rf5;0-1
69;d6;0-1
70;cxd6;0-1
71;Re3;0-1
72;fxe3;0-1
73;fxe3;0-1
74;dxc5;0-1
75;a3;0-1
76;Rxe3;0-1
77;a4;0-1
78;Re2+;0-1
79;Kg3;0-1
80;Rd2;0-1
81;a6;0-1
82;Rdf2;0-1
83;a5;0-1
84;R5f4;0-1
85;h4;0-1
86;Rc2;0-1
87;h5;0-1
88;Rff2;0-1
89;Kg4;0-1
90;Rf7;0-1
91;Kg3;0-1
92;Rff2;0-1
93;Kh4;0-1
94;Rf1;0-1
95;Kg3;0-1
96;c4;0-1
97;Kh4;0-1
98;Rcc1;0-1
99;Kg3;0-1
100;Rc2;0-1
101;Kh4;0-1
102;Rg1;0-1
103;Kh3;0-1
104;Rcg2;0-1
105;Kh4;0-1
106;Rh2#;0-1
1;e4;0-1
2;e5;0-1
3;Nf3;0-1
4;Nc6;0-1
5;Bb5;0-1
6;a6;0-1
7;Ba4;0-1
8;Nf6;0-1
9;O-O;0-1
10;Nxe4;0-1
11;d4;0-1
12;b5;0-1
13;c3;0-1
14;bxa4;0-1
15;d5;0-1
16;Ne7;0-1
17;Re1;0-1
18;f5;0-1
19;Nxe5;0-1
20;Nc5;0-1
21;Qh5+;0-1
22;g6;0-1
23;Nxg6;0-1
24;Ne4;0-1
25;Nxh8+;0-1
26;Ng6;0-1
27;Nxg6;0-1
28;Qf6;0-1
29;Kh1;0-1
30;hxg6;0-1
31;Qg4;0-1
32;fxg4;0-1
33;Rxe4+;0-1
34;Be7;0-1
35;Kg1;0-1
36;d6;0-1
37;Na3;0-1
38;Bf5;0-1
39;Rb4;0-1
40;Qf7;0-1
41;f3;0-1
42;gxf3;0-1
43;Bf4;0-1
44;Qxd5;0-1
45;Rd4;0-1
46;Qe6;0-1
47;Bg3;0-1
48;Rd8;0-1
49;Kf2;0-1
50;Qe2+;0-1
51;Kg1;0-1
52;Qxg2#;0-1
1;d4;1-0
2;Nh6;1-0
3;e4;1-0
4;c6;1-0
5;Nc3;1-0
6;Ng8;1-0
7;Bf4;1-0
8;g6;1-0
9;Qd2;1-0
10;Bg7;1-0
11;f3;1-0
12;d6;1-0
13;h4;1-0
14;Nf6;1-0
15;O-O-O;1-0
16;b5;1-0
17;Kb1;1-0
18;b4;1-0
19;Re1;1-0
20;bxc3;1-0
21;Qxc3;1-0
22;c5;1-0
23;Qb3;1-0
24;O-O;1-0
25;Bh6;1-0
26;Bxh6;1-0
27;Qd5;1-0
28;Qa5;1-0
29;Rd1;1-0
30;Nxd5;1-0
31;exd5;1-0
32;Bf5;1-0
33;Bc4;1-0
34;Na6;1-0
35;g4;1-0
36;Bxc2+;1-0
37;Kxc2;1-0
38;Rab8;1-0
39;g5;1-0
40;cxd4;1-0
41;h5;1-0
42;Rxb2+;1-0
43;Kxb2;1-0
44;Qc3+;1-0
45;Kb1;1-0
46;Qxc4;1-0
47;Rh2;1-0
48;Qc7;1-0
49;Rb2;1-0
50;Rb8;1-0
51;Ne2;1-0
52;Bxg5;1-0
53;hxg6;1-0
54;Rxb2+;1-0
55;Kxb2;1-0
56;Qb6+;1-0
57;Kc2;1-0
58;f6;1-0
59;gxh7+;1-0
60;Kh8;1-0
61;Rg1;1-0
62;d3+;1-0
63;Kxd3;1-0
64;Qe3+;1-0
65;Kc2;1-0
66;Qxe2+;1-0
67;Kc3;1-0
68;Qd2+;1-0
69;Kb3;1-0
70;Nc5+;1-0
71;Kc4;1-0
72;Qd3+;1-0
73;Kb4;1-0
74;Ne4;1-0
75;Rd1;1-0
76;Qd4+;1-0
77;Rxd4;1-0
78;Nc5;1-0
79;Rg4;1-0
80;Kxh7;1-0
81;Kc4;1-0
82;Bh6;1-0
83;Kb5;1-0
84;f5;1-0
85;Rg2;1-0
86;Na4;1-0
87;Kxa4;1-0
88;Bg7;1-0
89;f4;1-0
90;Bh6;1-0
91;Ka5;1-0
92;Bxf4;1-0
93;Rf2;1-0
94;Be5;1-0
95;Rxf5;1-0
96;Kg6;1-0
97;Rf1;1-0
98;Bc3+;1-0
99;Kb5;1-0
100;a5;1-0
101;Rf3;1-0
102;Bf6;1-0
103;Kxa5;1-0
104;Kf7;1-0
105;a3;1-0
106;e5;1-0
107;Rf2;1-0
108;Kg6;1-0
109;Kb5;1-0
110;Bg5;1-0
111;a4;1-0
112;Kh7;1-0
113;Re2;1-0
114;Kg6;1-0
115;a5;1-0
116;Bh6;1-0
117;a6;1-0
118;Kh7;1-0
119;a7;1-0
120;Kg6;1-0
121;a8=Q;1-0
122;Kf5;1-0
123;Qg8;1-0
124;Bg7;1-0
125;Qxg7;1-0
126;Kf4;1-0
127;Qg2;1-0
128;e4;1-0
129;Qxe4+;1-0
130;Kg5;1-0
131;Rg2+;1-0
132;Kh6;1-0
133;Rg7;1-0
134;Kxg7;1-0
135;Qe6;1-0
136;Kh8;1-0
137;Qg4;1-0
138;Kh7;1-0
139;Kc6;1-0
140;Kh8;1-0
141;Kxd6;1-0
142;Kh7;1-0
143;Ke7;1-0
144;Kh8;1-0
145;Qh4+;1-0
146;Kg7;1-0
147;Qg4+;1-0
148;Kh8;1-0
149;Kf6;1-0
150;Kh7;1-0
151;Qg7#;1-0
1;e4;0-1
2;c5;0-1
3;Nf3;0-1
4;d6;0-1
5;d4;0-1
6;cxd4;0-1
7;Nxd4;0-1
8;Bd7;0-1
9;Nc3;0-1
10;e6;0-1
11;g4;0-1
12;a6;0-1
13;Be3;0-1
14;Nc6;0-1
15;h4;0-1
16;h6;0-1
17;Qd2;0-1
18;Nxd4;0-1
19;Qe2;0-1
20;Nxe2;0-1
21;Bxe2;0-1
22;b5;0-1
23;e5;0-1
24;Bc6;0-1
25;g5;0-1
26;hxg5;0-1
27;O-O-O;0-1
28;Qb8;0-1
29;Bd3;0-1
30;Be4;0-1
31;Bxe4;0-1
32;d5;0-1
33;Nxd5;0-1
34;exd5;0-1
35;Bxd5;0-1
36;Ne7;0-1
37;Bb6;0-1
38;Nxd5;0-1
39;Ba5;0-1
40;Ba3;0-1
41;bxa3;0-1
42;Qb7;0-1
43;Rd3;0-1
44;Nf4;0-1
45;Kb2;0-1
46;Nxd3+;0-1
47;Kc3;0-1
48;Qxh1;0-1
49;Kd2;0-1
50;Qd1+;0-1
51;Kxd1;0-1
52;Nb2+;0-1
53;Ke2;0-1
54;O-O;0-1
55;hxg5;0-1
56;Rac8;0-1
57;f4;0-1
58;Rxc2+;0-1
59;Kf3;0-1
60;Rb8;0-1
61;Bb4;0-1
62;Re8;0-1
63;a4;0-1
64;Re2;0-1
65;Kxe2;0-1
66;Nxa4;0-1
67;e6;0-1
68;Rxe6+;0-1
69;Kd3;0-1
70;Rc6;0-1
71;Bf8;0-1
72;Kxf8;0-1
73;f5;0-1
74;Ke7;0-1
75;Kd2;0-1
76;Rg6;0-1
77;fxg6;0-1
78;fxg6;0-1
79;Kd1;0-1
80;Kd6;0-1
81;Kc1;0-1
82;a5;0-1
83;Kc2;0-1
84;Nb6;0-1
85;a4;0-1
86;Nxa4;0-1
87;Kb1;0-1
88;Nb2;0-1
89;Kc2;0-1
90;Na4;0-1
91;Kd1;0-1
92;Nc5;0-1
93;Kc1;0-1
94;a4;0-1
95;Kb1;0-1
96;a3;0-1
97;Ka1;0-1
98;b4;0-1
99;Kb1;0-1
100;Nb3;0-1
101;Kc2;0-1
102;a2;0-1
103;Kd3;0-1
104;Nc5+;0-1
105;Ke2;0-1
106;a1=Q;0-1
107;Ke3;0-1
108;Qe1+;0-1
109;Kf3;0-1
110;Qb1;0-1
111;Ke2;0-1
112;Qb2+;0-1
113;Kf3;0-1
114;Kd5;0-1
115;Kg4;0-1
116;Ne4;0-1
117;Kf3;0-1
118;Qf2+;0-1
119;Kg4;0-1
120;Qg3#;0-1
1;e4;1-0
2;c5;1-0
3;Nf3;1-0
4;Nc6;1-0
5;Ng5;1-0
6;e6;1-0
7;f4;1-0
8;d5;1-0
9;Bb5;1-0
10;Bd7;1-0
11;exd5;1-0
12;exd5;1-0
13;O-O;1-0
14;Nf6;1-0
15;Bxc6;1-0
16;Ne4;1-0
17;Bxd5;1-0
18;Nxg5;1-0
19;fxg5;1-0
20;Qc7;1-0
21;Qe2+;1-0
22;Qe5;1-0
23;Qxe5+;1-0
24;Kd8;1-0
25;Bxb7;1-0
26;c4;1-0
27;Bxa8;1-0
28;Kc8;1-0
29;d4;1-0
30;h6;1-0
31;Bf4;1-0
32;Kd8;1-0
33;Re1;1-0
34;Rh7;1-0
35;h3;1-0
36;Be7;1-0
37;Bc1;1-0
38;Be6;1-0
39;Bf4;1-0
40;hxg5;1-0
41;Qe2;1-0
42;gxf4;1-0
43;Na3;1-0
44;c3;1-0
45;bxc3;1-0
46;g6;1-0
47;Qe5;1-0
48;f3;1-0
49;Bxf3;1-0
50;Rxh3;1-0
51;gxh3;1-0
52;Bg4;1-0
53;Qxe7+;1-0
54;Kc8;1-0
55;Qe8+;1-0
56;Kc7;1-0
57;Qc6+;1-0
58;Kd8;1-0
59;Re8#;1-0
1;e4;0-1
2;e6;0-1
3;d4;0-1
4;d5;0-1
5;Nc3;0-1
6;Nf6;0-1
7;Bg5;0-1
8;dxe4;0-1
9;Nxe4;0-1
10;Nbd7;0-1
11;Nf3;0-1
12;Ke7;0-1
13;Ne5;0-1
14;Ke8;0-1
15;Qf3;0-1
16;Bb4+;0-1
17;c3;0-1
18;Be7;0-1
19;O-O-O;0-1
20;Rf8;0-1
21;h4;0-1
22;Nxe4;0-1
23;Be3;0-1
24;a5;0-1
25;Bd3;0-1
26;Nef6;0-1
27;Rdg1;0-1
28;Nxe5;0-1
29;b3;0-1
30;Nxd3+;0-1
31;Kd1;0-1
32;e5;0-1
33;g4;0-1
34;b5;0-1
35;Qe2;0-1
36;exd4;0-1
37;b4;0-1
38;dxe3;0-1
39;Qxe3;0-1
40;Bxg4+;0-1
41;Rxg4;0-1
42;Nxg4;0-1
43;Qg3;0-1
44;Ngxf2+;0-1
45;Ke2;0-1
46;Ra6;0-1
47;Qf3;0-1
48;Re6+;0-1
49;Qe4;0-1
50;Rxe4+;0-1
51;Kd2;0-1
52;Ne1+;0-1
53;Kc1;0-1
54;Qd1+;0-1
55;Kb2;0-1
56;Nfd3+;0-1
57;Ka3;0-1
58;Nf2;0-1
59;c4;0-1
60;Qd2;0-1
61;c5;0-1
62;Qxb4#;0-1
1;e4;1/2-1/2
2;e5;1/2-1/2
3;Nf3;1/2-1/2
4;Nc6;1/2-1/2
5;h3;1/2-1/2
6;Nb8;1/2-1/2
7;Nxe5;1/2-1/2
8;Qe7;1/2-1/2
9;d4;1/2-1/2
10;d6;1/2-1/2
11;Nf3;1/2-1/2
12;Qxe4+;1/2-1/2
13;Be2;1/2-1/2
14;Qe7;1/2-1/2
15;Bg5;1/2-1/2
16;Qd7;1/2-1/2
17;Nfd2;1/2-1/2
18;h5;1/2-1/2
19;Rh2;1/2-1/2
20;Nc6;1/2-1/2
21;Nf3;1/2-1/2
22;d5;1/2-1/2
23;Rh1;1/2-1/2
24;Nf6;1/2-1/2
25;c4;1/2-1/2
26;Ne4;1/2-1/2
27;Bd2;1/2-1/2
28;Nb4;1/2-1/2
29;a3;1/2-1/2
30;Nc6;1/2-1/2
31;Be3;1/2-1/2
32;Qd6;1/2-1/2
33;Ng5;1/2-1/2
34;Nxg5;1/2-1/2
35;Bxg5;1/2-1/2
36;dxc4;1/2-1/2
37;d5;1/2-1/2
38;Be7;1/2-1/2
39;Bxe7;1/2-1/2
40;Nxe7;1/2-1/2
41;Rg1;1/2-1/2
42;Nxd5;1/2-1/2
43;Bf3;1/2-1/2
44;Be6;1/2-1/2
45;Qa4+;1/2-1/2
46;c6;1/2-1/2
47;Bxd5;1/2-1/2
48;c3;1/2-1/2
49;Nxc3;1/2-1/2
50;Bxd5;1/2-1/2
51;O-O-O;1/2-1/2
52;O-O;1/2-1/2
53;Rd2;1/2-1/2
54;Qh2;1/2-1/2
55;Ne2;1/2-1/2
56;Qe5;1/2-1/2
57;Qd4;1/2-1/2
58;Rfe8;1/2-1/2
59;Qc3;1/2-1/2
60;Qh2;1/2-1/2
61;Qg3;1/2-1/2
62;Qxg3;1/2-1/2
63;Nd4;1/2-1/2
64;Re1+;1/2-1/2
65;Rd1;1/2-1/2
66;Qf4+;1/2-1/2
67;Kb1;1/2-1/2
68;Rxg1;1/2-1/2
69;Rxg1;1/2-1/2
70;Qb8;1/2-1/2
71;g3;1/2-1/2
72;Qe5;1/2-1/2
73;Rd1;1/2-1/2
74;Qf6;1/2-1/2
75;Rd2;1/2-1/2
76;Re8;1/2-1/2
77;Nc2;1/2-1/2
78;Kh7;1/2-1/2
79;a4;1/2-1/2
80;Be4;1/2-1/2
81;Ka2;1/2-1/2
82;Bxc2;1/2-1/2
83;Rxc2;1/2-1/2
84;Qd4;1/2-1/2
85;Rc3;1/2-1/2
86;Qe5;1/2-1/2
87;Re3;1/2-1/2
88;Rc8;1/2-1/2
89;Rxe5;1/2-1/2
90;Rc7;1/2-1/2
91;Kb3;1/2-1/2
92;Kg6;1/2-1/2
93;Kc4;1/2-1/2
94;f6;1/2-1/2
95;g4;1/2-1/2
96;fxe5;1/2-1/2
97;f3;1/2-1/2
98;hxg4;1/2-1/2
99;hxg4;1/2-1/2
100;Rd7;1/2-1/2
101;f4;1/2-1/2
102;Re7;1/2-1/2
103;fxe5;1/2-1/2
104;Rxe5;1/2-1/2
105;a5;1/2-1/2
106;Re8;1/2-1/2
107;a6;1/2-1/2
108;b6;1/2-1/2
109;Kd4;1/2-1/2
110;Kg5;1/2-1/2
111;b4;1/2-1/2
112;c5+;1/2-1/2
113;bxc5;1/2-1/2
114;Re4+;1/2-1/2
115;Kxe4;1/2-1/2
116;bxc5;1/2-1/2
117;Kd5;1/2-1/2
118;c4;1/2-1/2
119;Kxc4;1/2-1/2
120;Kxg4;1/2-1/2
121;Kc5;1/2-1/2
122;Kf4;1/2-1/2
123;Kc6;1/2-1/2
124;Ke5;1/2-1/2
125;Kb7;1/2-1/2
126;Kd6;1/2-1/2
127;Kxa7;1/2-1/2
128;Kc7;1/2-1/2
129;Ka8;1/2-1/2
130;Kb6;1/2-1/2
131;a7;1/2-1/2
132;Ka6;1/2-1/2
133;Kb8;1/2-1/2
134;Kb5;1/2-1/2
135;Kc7;1/2-1/2
136;Kb4;1/2-1/2
137;Kc6;1/2-1/2
138;g5;1/2-1/2
139;a8=N;1/2-1/2
140;g4;1/2-1/2
141;Nc7;1/2-1/2
142;Kc3;1/2-1/2
143;Nd5+;1/2-1/2
144;Kd4;1/2-1/2
145;Nf6;1/2-1/2
146;g3;1/2-1/2
147;Ng8;1/2-1/2
148;Ke5;1/2-1/2
149;Kd7;1/2-1/2
150;g2;1/2-1/2
151;Ne7;1/2-1/2
152;g1=Q;1/2-1/2
153;Nc6+;1/2-1/2
154;Kf6;1/2-1/2
155;Kd6;1/2-1/2
156;Qg6;1/2-1/2
157;Kd5;1/2-1/2
158;Qh6;1/2-1/2
159;Kd4;1/2-1/2
160;Ke6;1/2-1/2
161;Nb4;1/2-1/2
162;Qh4+;1/2-1/2
163;Kc3;1/2-1/2
164;Kd6;1/2-1/2
165;Nd3;1/2-1/2
166;Kd5;1/2-1/2
167;Nb4+;1/2-1/2
168;Ke4;1/2-1/2
169;Kb3;1/2-1/2
170;Qg3+;1/2-1/2
171;Kc4;1/2-1/2
172;Qh2;1/2-1/2
173;Kc5;1/2-1/2
174;Qe5+;1/2-1/2
175;Kb6;1/2-1/2
176;Qd4+;1/2-1/2
177;Kb5;1/2-1/2
178;Qc4+;1/2-1/2
179;Kxc4;1/2-1/2
1;e4;0-1
2;g6;0-1
3;d4;0-1
4;d6;0-1
5;Nc3;0-1
6;Bg7;0-1
7;Be3;0-1
8;a6;0-1
9;Qd2;0-1
10;b5;0-1
11;h4;0-1
12;Nd7;0-1
13;h5;0-1
14;Ngf6;0-1
15;h6;0-1
16;Bf8;0-1
17;d5;0-1
18;e6;0-1
19;f3;0-1
20;Be7;0-1
21;g4;0-1
22;O-O;0-1
23;a3;0-1
24;c5;0-1
25;dxc6;0-1
26;Ne5;0-1
27;g5;0-1
28;Nfg4;0-1
29;fxg4;0-1
30;f6;0-1
31;Be2;0-1
32;Nxc6;0-1
33;Bf3;0-1
34;Bb7;0-1
35;Bf4;0-1
36;fxg5;0-1
37;Bg3;0-1
38;Qa5;0-1
39;Rd1;0-1
40;Rf7;0-1
41;Qxg5;0-1
42;Bxg5;0-1
43;Bxd6;0-1
44;Qb6;0-1
45;Nce2;0-1
46;Rd8;0-1
47;Bf8;0-1
48;Rxd1+;0-1
49;Kxd1;0-1
50;Kxf8;0-1
51;Ke1;0-1
52;Ne5;0-1
53;Rh3;0-1
54;Nxg4;0-1
55;c4;0-1
56;Qf2+;0-1
57;Kd1;0-1
58;Ne3+;0-1
59;Kd2;0-1
60;Nxc4+;0-1
61;Kc2;0-1
62;Qe1;0-1
63;b3;0-1
64;Qd2+;0-1
65;Kb1;0-1
66;Qb2#;0-1
1;c3;1/2-1/2
2;e5;1/2-1/2
3;f3;1/2-1/2
4;d5;1/2-1/2
5;d4;1/2-1/2
6;Nc6;1/2-1/2
7;e3;1/2-1/2
8;h5;1/2-1/2
9;Bb5;1/2-1/2
10;Qh4+;1/2-1/2
11;g3;1/2-1/2
12;Qe7;1/2-1/2
13;dxe5;1/2-1/2
14;Kd8;1/2-1/2
15;Qxd5+;1/2-1/2
16;Qd7;1/2-1/2
17;Bxc6;1/2-1/2
18;bxc6;1/2-1/2
19;Kd2;1/2-1/2
20;cxd5;1/2-1/2
21;b3;1/2-1/2
22;f6;1/2-1/2
23;Ba3;1/2-1/2
24;Qe8;1/2-1/2
25;Bxf8;1/2-1/2
26;Qxf8;1/2-1/2
27;c4;1/2-1/2
28;Kd7;1/2-1/2
29;cxd5;1/2-1/2
30;a6;1/2-1/2
31;e6+;1/2-1/2
32;Ke8;1/2-1/2
33;Nc3;1/2-1/2
34;c6;1/2-1/2
35;b4;1/2-1/2
36;Qd6;1/2-1/2
37;Ke1;1/2-1/2
38;Ke7;1/2-1/2
39;Rd1;1/2-1/2
40;Ke8;1/2-1/2
41;Nge2;1/2-1/2
42;Ra7;1/2-1/2
43;Rf1;1/2-1/2
44;cxd5;1/2-1/2
45;Rxd5;1/2-1/2
46;Qb8;1/2-1/2
47;Rd4;1/2-1/2
48;Bxe6;1/2-1/2
49;Kf2;1/2-1/2
50;Bf5;1/2-1/2
51;Rc1;1/2-1/2
52;Rc7;1/2-1/2
53;b5;1/2-1/2
54;axb5;1/2-1/2
55;Rb4;1/2-1/2
56;h4;1/2-1/2
57;Rxb5;1/2-1/2
58;Qxb5;1/2-1/2
59;Nxb5;1/2-1/2
60;Rxc1;1/2-1/2
61;Nxc1;1/2-1/2
62;Bd7;1/2-1/2
63;Nd4;1/2-1/2
64;Ne7;1/2-1/2
65;Nb5;1/2-1/2
66;Bxb5;1/2-1/2
67;e4;1/2-1/2
68;hxg3+;1/2-1/2
69;Kxg3;1/2-1/2
70;Rh5;1/2-1/2
71;Nb3;1/2-1/2
72;Rg5+;1/2-1/2
73;Kf2;1/2-1/2
74;Bd7;1/2-1/2
75;Ke2;1/2-1/2
76;Rg2+;1/2-1/2
77;Ke3;1/2-1/2
78;Rxa2;1/2-1/2
79;Nc5;1/2-1/2
80;Ba4;1/2-1/2
81;Ne6;1/2-1/2
82;g6;1/2-1/2
83;Nc7+;1/2-1/2
84;Kd7;1/2-1/2
85;Na6;1/2-1/2
86;Ke6;1/2-1/2
87;Nc5+;1/2-1/2
88;Kf7;1/2-1/2
89;f4;1/2-1/2
90;g5;1/2-1/2
91;fxg5;1/2-1/2
92;fxg5;1/2-1/2
93;Nb7;1/2-1/2
94;Bc6;1/2-1/2
95;Nd8+;1/2-1/2
96;Kg6;1/2-1/2
97;h3;1/2-1/2
98;Ra4;1/2-1/2
99;Kf2;1/2-1/2
100;Rxe4;1/2-1/2
101;Nxc6;1/2-1/2
102;Nxc6;1/2-1/2
103;Kg2;1/2-1/2
104;Re2+;1/2-1/2
105;Kf1;1/2-1/2
106;Nd4;1/2-1/2
107;Kg1;1/2-1/2
108;Kf5;1/2-1/2
109;h4;1/2-1/2
110;Kg6;1/2-1/2
111;hxg5;1/2-1/2
112;Nc2;1/2-1/2
113;Kf1;1/2-1/2
114;Nd4;1/2-1/2
115;Kg1;1/2-1/2
116;Kxg5;1/2-1/2
117;Kf1;1/2-1/2
118;Kg4;1/2-1/2
119;Kg1;1/2-1/2
120;Re3;1/2-1/2
121;Kg2;1/2-1/2
122;Re2+;1/2-1/2
123;Kg1;1/2-1/2
124;Kh4;1/2-1/2
125;Kf1;1/2-1/2
126;Nf5;1/2-1/2
127;Kxe2;1/2-1/2
1;e4;0-1
2;c5;0-1
3;c3;0-1
4;d5;0-1
5;exd5;0-1
6;Qxd5;0-1
7;Qa4+;0-1
8;Bd7;0-1
9;Qb3;0-1
10;Qxb3;0-1
11;axb3;0-1
12;Nc6;0-1
13;Na3;0-1
14;e5;0-1
15;Nb5;0-1
16;Kd8;0-1
17;Nf3;0-1
18;f6;0-1
19;Be2;0-1
20;e4;0-1
21;O-O;0-1
22;exf3;0-1
23;Bxf3;0-1
24;Ne5;0-1
25;Be2;0-1
26;Bxb5;0-1
27;Bxb5;0-1
28;Ne7;0-1
29;Rd1;0-1
30;Nc8;0-1
31;d4;0-1
