type,ts,price,size,cash,realized_pnl,stop_loss
sell,2025-03-02 16:00:00+00:00,91515.85,0.00715717,653.29,53.29,
sell,2025-03-02 17:00:00+00:00,94013.33,0.00629831,590.59,62.59,
sell,2025-03-02 18:00:00+00:00,92928.2,0.00554251,513.72,49.08,
sell,2025-03-02 19:00:00+00:00,93525.1,0.00487741,454.97,46.09,
sell,2025-03-02 20:00:00+00:00,94421.73,0.00429212,404.22,44.4,
sell,2025-03-02 21:00:00+00:00,94161.79,0.00377707,354.73,38.09,
sell,2025-03-02 22:00:00+00:00,94450.45,0.00332382,313.12,34.48,
sell,2025-03-02 23:00:00+00:00,94247.12,0.00292496,274.95,29.75,
buy,2025-03-03 18:00:00+00:00,87175.28,0.01175195,-1027.15,0.0,78457.75
buy,2025-03-03 19:00:00+00:00,85657.05,0.01052502,-903.89,0.0,77091.35
buy,2025-03-03 20:00:00+00:00,85929.88,0.00923261,-795.43,0.0,77336.89
buy,2025-03-03 21:00:00+00:00,85105.41,0.00820341,-699.97,0.0,76594.87
buy,2025-03-04 01:00:00+00:00,83278.04,0.0073774,-615.98,0.0,74950.24
buy,2025-03-04 02:00:00+00:00,83974.6,0.00643826,-542.06,0.0,75577.14
buy,2025-03-04 03:00:00+00:00,84031.19,0.00566186,-477.01,0.0,75628.07
buy,2025-03-04 04:00:00+00:00,83537.59,0.00501187,-419.77,0.0,75183.83
buy,2025-04-07 06:00:00+00:00,74830.3,0.01436192,-1077.51,0.0,67347.27
buy,2025-04-07 07:00:00+00:00,75091.95,0.00915022,-688.9,0.0,67582.76
sell,2025-04-09 17:00:00+00:00,82134.93,0.02815402,2306.42,-76.21,
sell,2025-04-09 18:00:00+00:00,81820.41,0.02059116,1680.4,-92.41,
sell,2025-04-09 19:00:00+00:00,82227.61,0.01543729,1266.07,-45.68,
sell,2025-04-09 20:00:00+00:00,83112.91,0.01225581,1015.97,-10.26,
sell,2025-04-09 21:00:00+00:00,83268.91,0.00900734,748.08,-6.44,
sell,2025-04-09 22:00:00+00:00,83020.63,0.00647025,535.77,49.8,
