Datetime,price,volume,ma_short,ma_long,rsi,trad_signal,trad_signal_trend,amplitude,time_comp,fft_period,resonance_score,use_grid,direction_hint,res_signal
2024-03-01 00:00:00+00:00,61513.88671875,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 01:00:00+00:00,61195.4921875,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 02:00:00+00:00,60989.578125,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 03:00:00+00:00,61129.2890625,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 04:00:00+00:00,61477.578125,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 05:00:00+00:00,61308.34375,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 06:00:00+00:00,61540.96484375,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 07:00:00+00:00,61470.8828125,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 08:00:00+00:00,61944.65234375,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 09:00:00+00:00,62186.4140625,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 10:00:00+00:00,62045.984375,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 11:00:00+00:00,61885.74609375,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 12:00:00+00:00,62239.9921875,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 13:00:00+00:00,62466.7265625,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 14:00:00+00:00,61932.8984375,0,,,55.79505243083506,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 15:00:00+00:00,61256.38671875,0,,,50.766282959900046,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 16:00:00+00:00,61461.9609375,0,,,55.944866561268555,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 17:00:00+00:00,61899.55078125,0,,,59.017535965054286,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 18:00:00+00:00,62388.91015625,0,,,60.32792458743815,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 19:00:00+00:00,62201.09765625,0,,,60.07495880439737,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 20:00:00+00:00,63155.1015625,0,,,65.66532488890337,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 21:00:00+00:00,62632.3046875,0,,,60.36122309017614,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 22:00:00+00:00,62599.578125,0,,,56.34173925871009,hold,hold,,,,0.0,False,0.0,hold
2024-03-01 23:00:00+00:00,62461.9921875,0,61891.0546875,,52.72340675223284,hold,hold,,,,0.0,False,0.0,hold
2024-03-02 00:00:00+00:00,62345.3203125,0,61925.69775390625,,52.972150296245395,hold,hold,,,,0.0,False,0.0,hold
