Datetime,ts,price_now,price_future,ret,signal
2025-08-29 00:00:00+00:00,2025-08-29 00:00:00+00:00,112216.7578125,108297.6484375,-0.03492445737514838,hold
2025-08-29 01:00:00+00:00,2025-08-29 01:00:00+00:00,111540.625,108195.7734375,-0.02998774269464599,hold
2025-08-29 02:00:00+00:00,2025-08-29 02:00:00+00:00,111476.0625,107628.609375,-0.0345137156687787,hold
2025-08-29 03:00:00+00:00,2025-08-29 03:00:00+00:00,111766.6328125,107691.9609375,-0.03645696190772496,hold
2025-08-29 04:00:00+00:00,2025-08-29 04:00:00+00:00,111445.75,107398.1015625,-0.03631945083145838,hold
2025-08-29 05:00:00+00:00,2025-08-29 05:00:00+00:00,111256.859375,107872.78125,-0.03041680435714711,hold
2025-08-29 06:00:00+00:00,2025-08-29 06:00:00+00:00,111270.171875,108074.4453125,-0.028720424428660518,hold
2025-08-29 07:00:00+00:00,2025-08-29 07:00:00+00:00,109912.609375,109362.9140625,-0.005001203370803009,hold
2025-08-29 08:00:00+00:00,2025-08-29 08:00:00+00:00,109629.1328125,109587.96875,-0.0003754847041470555,hold
2025-08-29 09:00:00+00:00,2025-08-29 09:00:00+00:00,109805.1015625,109543.7890625,-0.0023797846938037326,hold
2025-08-29 10:00:00+00:00,2025-08-29 10:00:00+00:00,110003.2265625,108530.640625,-0.013386752220975295,hold
2025-08-29 11:00:00+00:00,2025-08-29 11:00:00+00:00,110073.78125,108799.1171875,-0.011580087901268521,hold
2025-08-29 12:00:00+00:00,2025-08-29 12:00:00+00:00,110734.15625,109045.0546875,-0.01525366354611113,hold
2025-08-29 13:00:00+00:00,2025-08-29 13:00:00+00:00,109151.3359375,109061.3984375,-0.0008239706754620268,hold
2025-08-29 14:00:00+00:00,2025-08-29 14:00:00+00:00,108207.609375,109207.9453125,0.00924459881590467,hold
2025-08-29 15:00:00+00:00,2025-08-29 15:00:00+00:00,108451.421875,108739.5,0.0026562872115409863,hold
2025-08-29 16:00:00+00:00,2025-08-29 16:00:00+00:00,108737.859375,108768.2578125,0.0002795570712419426,hold
2025-08-29 17:00:00+00:00,2025-08-29 17:00:00+00:00,108529.4375,108937.65625,0.0037613642842293515,hold
2025-08-29 18:00:00+00:00,2025-08-29 18:00:00+00:00,108173.1953125,109247.953125,0.009935528015005524,hold
2025-08-29 19:00:00+00:00,2025-08-29 19:00:00+00:00,108279.3359375,109211.0859375,0.008605058314522962,hold
2025-08-29 20:00:00+00:00,2025-08-29 20:00:00+00:00,107851.8984375,108721.984375,0.008067414205084278,hold
2025-08-29 21:00:00+00:00,2025-08-29 21:00:00+00:00,108429.515625,107759.4765625,-0.006179489584896003,hold
2025-08-29 22:00:00+00:00,2025-08-29 22:00:00+00:00,108344.0859375,108466.65625,0.001131305981673103,hold
2025-08-29 23:00:00+00:00,2025-08-29 23:00:00+00:00,108443.875,109201.875,0.006989790801924078,hold
2025-08-30 00:00:00+00:00,2025-08-30 00:00:00+00:00,108286.078125,109021.984375,0.006795945173584617,hold
2025-08-30 01:00:00+00:00,2025-08-30 01:00:00+00:00,107690.4140625,109384.578125,0.015731800060837076,hold
2025-08-30 02:00:00+00:00,2025-08-30 02:00:00+00:00,107876.6875,110044.421875,0.02009455819636652,hold
2025-08-30 03:00:00+00:00,2025-08-30 03:00:00+00:00,108411.421875,110348.9453125,0.017871949320376945,hold
2025-08-30 04:00:00+00:00,2025-08-30 04:00:00+00:00,108462.3046875,110242.09375,0.016409286780581622,hold
2025-08-30 05:00:00+00:00,2025-08-30 05:00:00+00:00,108359.2734375,110245.2578125,0.017404918980818085,hold
2025-08-30 06:00:00+00:00,2025-08-30 06:00:00+00:00,108240.8984375,110448.15625,0.020392086950151267,hold
2025-08-30 07:00:00+00:00,2025-08-30 07:00:00+00:00,108525.1015625,110170.484375,0.015161310966868013,hold
2025-08-30 08:00:00+00:00,2025-08-30 08:00:00+00:00,108594.765625,110425.78125,0.016860993386392797,hold
2025-08-30 09:00:00+00:00,2025-08-30 09:00:00+00:00,108531.2109375,110419.2890625,0.017396637416008387,hold
2025-08-30 10:00:00+00:00,2025-08-30 10:00:00+00:00,108457.046875,110273.1875,0.016745252404789968,hold
2025-08-30 11:00:00+00:00,2025-08-30 11:00:00+00:00,108708.3046875,109632.28125,0.008499594995581283,hold
2025-08-30 12:00:00+00:00,2025-08-30 12:00:00+00:00,108561.0546875,108794.3125,0.002148632519934912,hold
2025-08-30 13:00:00+00:00,2025-08-30 13:00:00+00:00,108498.4296875,111127.953125,0.024235589815204017,hold
2025-08-30 14:00:00+00:00,2025-08-30 14:00:00+00:00,108678.6484375,111291.859375,0.02404530213681144,hold
2025-08-30 15:00:00+00:00,2025-08-30 15:00:00+00:00,108863.3203125,110739.5390625,0.017234627279548054,hold
2025-08-30 16:00:00+00:00,2025-08-30 16:00:00+00:00,108816.078125,110709.96875,0.01740451096596618,hold
2025-08-30 17:00:00+00:00,2025-08-30 17:00:00+00:00,108767.1171875,110904.5625,0.01965157639339954,hold
2025-08-30 18:00:00+00:00,2025-08-30 18:00:00+00:00,108730.0078125,110661.8203125,0.01776705933224365,hold
2025-08-30 19:00:00+00:00,2025-08-30 19:00:00+00:00,108824.9375,110691.515625,0.017152117592532434,hold
2025-08-30 20:00:00+00:00,2025-08-30 20:00:00+00:00,108639.3359375,111404.5859375,0.025453487690598964,hold
2025-08-30 21:00:00+00:00,2025-08-30 21:00:00+00:00,108605.9296875,111195.28125,0.023841714443682216,hold
2025-08-30 22:00:00+00:00,2025-08-30 22:00:00+00:00,108541.5703125,111231.90625,0.02478622641771544,hold
2025-08-30 23:00:00+00:00,2025-08-30 23:00:00+00:00,108810.75,111194.046875,0.02190313801715371,hold
2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,109365.6953125,111360.8125,0.01824262335460114,hold
2025-08-31 01:00:00+00:00,2025-08-31 01:00:00+00:00,109478.2578125,111170.2578125,0.015455123545150329,hold
2025-08-31 02:00:00+00:00,2025-08-31 02:00:00+00:00,109233.8359375,111404.796875,0.019874436513811933,hold
2025-08-31 03:00:00+00:00,2025-08-31 03:00:00+00:00,109194.828125,111066.8046875,0.017143454453328655,hold
2025-08-31 04:00:00+00:00,2025-08-31 04:00:00+00:00,108793.9375,111033.609375,0.02058636654271284,hold
2025-08-31 05:00:00+00:00,2025-08-31 05:00:00+00:00,108749.2578125,110710.3203125,0.01803288168992534,hold
2025-08-31 06:00:00+00:00,2025-08-31 06:00:00+00:00,108730.6640625,110722.7265625,0.018321073610430005,hold
2025-08-31 07:00:00+00:00,2025-08-31 07:00:00+00:00,108716.578125,111106.625,0.021984198879511974,hold
2025-08-31 08:00:00+00:00,2025-08-31 08:00:00+00:00,109011.53125,111003.421875,0.018272292868099616,hold
2025-08-31 09:00:00+00:00,2025-08-31 09:00:00+00:00,108484.96875,111264.2890625,0.02561940464678436,hold
2025-08-31 10:00:00+00:00,2025-08-31 10:00:00+00:00,108560.2890625,111452.21875,0.02663892766382614,hold
2025-08-31 11:00:00+00:00,2025-08-31 11:00:00+00:00,108399.5859375,111481.59375,0.028431914991603247,hold
2025-08-31 12:00:00+00:00,2025-08-31 12:00:00+00:00,108309.609375,111149.4921875,0.026220044822315547,hold
2025-08-31 13:00:00+00:00,2025-08-31 13:00:00+00:00,108413.6875,111441.4765625,0.027928106979111744,hold
2025-08-31 14:00:00+00:00,2025-08-31 14:00:00+00:00,108447.1171875,112325.359375,0.03576159780065624,hold
2025-08-31 15:00:00+00:00,2025-08-31 15:00:00+00:00,108792.7734375,112241.46875,0.03169967272211549,hold
2025-08-31 16:00:00+00:00,2025-08-31 16:00:00+00:00,108941.890625,111872.140625,0.026897366873193995,hold
2025-08-31 17:00:00+00:00,2025-08-31 17:00:00+00:00,108992.6953125,112337.8515625,0.030691563690657286,hold
2025-08-31 18:00:00+00:00,2025-08-31 18:00:00+00:00,109146.3828125,112002.2265625,0.02616526243390016,hold
2025-08-31 19:00:00+00:00,2025-08-31 19:00:00+00:00,108923.2578125,112226.90625,0.03033005534214639,hold
2025-08-31 20:00:00+00:00,2025-08-31 20:00:00+00:00,109114.9921875,112231.0703125,0.028557745022292025,hold
2025-08-31 21:00:00+00:00,2025-08-31 21:00:00+00:00,109062.1953125,112009.5546875,0.027024574065787066,hold
2025-08-31 22:00:00+00:00,2025-08-31 22:00:00+00:00,108865.8046875,111972.9375,0.02854094379239691,hold
2025-08-31 23:00:00+00:00,2025-08-31 23:00:00+00:00,108248.1328125,111711.046875,0.031990520044334,hold
2025-09-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,108297.6484375,112172.578125,0.03578036774950166,hold
2025-09-01 01:00:00+00:00,2025-09-01 01:00:00+00:00,108195.7734375,111924.265625,0.034460608478886545,hold
2025-09-01 02:00:00+00:00,2025-09-01 02:00:00+00:00,107628.609375,111473.390625,0.03572266957946102,hold
2025-09-01 03:00:00+00:00,2025-09-01 03:00:00+00:00,107691.9609375,111217.6015625,0.032738196930466756,hold
2025-09-01 04:00:00+00:00,2025-09-01 04:00:00+00:00,107398.1015625,111071.1328125,0.034200150622424985,hold
2025-09-01 05:00:00+00:00,2025-09-01 05:00:00+00:00,107872.78125,110663.5078125,0.025870534996519368,hold
2025-09-01 06:00:00+00:00,2025-09-01 06:00:00+00:00,108074.4453125,110435.484375,0.021846413883254145,hold
2025-09-01 07:00:00+00:00,2025-09-01 07:00:00+00:00,109362.9140625,110547.7421875,0.010833911432927668,hold
2025-09-01 08:00:00+00:00,2025-09-01 08:00:00+00:00,109587.96875,110671.84375,0.009890456154658889,hold
2025-09-01 09:00:00+00:00,2025-09-01 09:00:00+00:00,109543.7890625,110816.671875,0.011619853789919254,hold
2025-09-01 10:00:00+00:00,2025-09-01 10:00:00+00:00,108530.640625,110687.796875,0.019876011397127025,hold
2025-09-01 11:00:00+00:00,2025-09-01 11:00:00+00:00,108799.1171875,110837.40625,0.01873442648424528,hold
2025-09-01 12:00:00+00:00,2025-09-01 12:00:00+00:00,109045.0546875,110975.234375,0.017700753995965046,hold
2025-09-01 13:00:00+00:00,2025-09-01 13:00:00+00:00,109061.3984375,110524.90625,0.013419118344963232,hold
2025-09-01 14:00:00+00:00,2025-09-01 14:00:00+00:00,109207.9453125,109892.4921875,0.006268288200470762,hold
2025-09-01 15:00:00+00:00,2025-09-01 15:00:00+00:00,108739.5,109530.46875,0.007273978177203322,hold
2025-09-01 16:00:00+00:00,2025-09-01 16:00:00+00:00,108768.2578125,109437.9296875,0.006156868634913826,hold
2025-09-01 17:00:00+00:00,2025-09-01 17:00:00+00:00,108937.65625,109814.0546875,0.008044954037644825,hold
2025-09-01 18:00:00+00:00,2025-09-01 18:00:00+00:00,109247.953125,110018.34375,0.0070517625544757045,hold
2025-09-01 19:00:00+00:00,2025-09-01 19:00:00+00:00,109211.0859375,109895.53125,0.006267177975793681,hold
2025-09-01 20:00:00+00:00,2025-09-01 20:00:00+00:00,108721.984375,110356.1328125,0.015030524386526523,hold
2025-09-01 21:00:00+00:00,2025-09-01 21:00:00+00:00,107759.4765625,110548.140625,0.02587859695924366,hold
2025-09-01 22:00:00+00:00,2025-09-01 22:00:00+00:00,108466.65625,111498.0546875,0.02794774488588514,hold
2025-09-01 23:00:00+00:00,2025-09-01 23:00:00+00:00,109201.875,110732.3046875,0.014014683241473591,hold
2025-09-02 00:00:00+00:00,2025-09-02 00:00:00+00:00,109021.984375,110494.9765625,0.013510964746645815,hold
2025-09-02 01:00:00+00:00,2025-09-02 01:00:00+00:00,109384.578125,111081.3203125,0.015511713045700537,hold
2025-09-02 02:00:00+00:00,2025-09-02 02:00:00+00:00,110044.421875,111379.1953125,0.012129405695966877,hold
2025-09-02 03:00:00+00:00,2025-09-02 03:00:00+00:00,110348.9453125,111305.1171875,0.008664984266883557,hold
2025-09-02 04:00:00+00:00,2025-09-02 04:00:00+00:00,110242.09375,111455.859375,0.011010001567572703,hold
2025-09-02 05:00:00+00:00,2025-09-02 05:00:00+00:00,110245.2578125,111594.609375,0.012239542899839861,hold
2025-09-02 06:00:00+00:00,2025-09-02 06:00:00+00:00,110448.15625,111859.859375,0.012781590684090682,hold
2025-09-02 07:00:00+00:00,2025-09-02 07:00:00+00:00,110170.484375,112966.625,0.025380124639213353,hold
2025-09-02 08:00:00+00:00,2025-09-02 08:00:00+00:00,110425.78125,112632.7734375,0.019986203969011962,hold
2025-09-02 09:00:00+00:00,2025-09-02 09:00:00+00:00,110419.2890625,112289.5625,0.016937923196022275,hold
2025-09-02 10:00:00+00:00,2025-09-02 10:00:00+00:00,110273.1875,112251.5859375,0.01794088374837255,hold
2025-09-02 11:00:00+00:00,2025-09-02 11:00:00+00:00,109632.28125,112341.5703125,0.02471251196827584,hold
2025-09-02 12:00:00+00:00,2025-09-02 12:00:00+00:00,108794.3125,113149.515625,0.040031533128167984,hold
2025-09-02 13:00:00+00:00,2025-09-02 13:00:00+00:00,111127.953125,113034.7265625,0.017158360105447246,hold
2025-09-02 14:00:00+00:00,2025-09-02 14:00:00+00:00,111291.859375,110607.890625,-0.006145721293911999,hold
2025-09-02 15:00:00+00:00,2025-09-02 15:00:00+00:00,110739.5390625,110702.4921875,-0.0003345406285201191,hold
2025-09-02 16:00:00+00:00,2025-09-02 16:00:00+00:00,110709.96875,110817.0234375,0.0009669832690653024,hold
2025-09-02 17:00:00+00:00,2025-09-02 17:00:00+00:00,110904.5625,110602.2109375,-0.0027262319573191363,hold
2025-09-02 18:00:00+00:00,2025-09-02 18:00:00+00:00,110661.8203125,111199.7265625,0.004860811510970953,hold
2025-09-02 19:00:00+00:00,2025-09-02 19:00:00+00:00,110691.515625,111528.140625,0.007558167356153334,hold
2025-09-02 20:00:00+00:00,2025-09-02 20:00:00+00:00,111404.5859375,111607.9921875,0.0018258337238838962,hold
2025-09-02 21:00:00+00:00,2025-09-02 21:00:00+00:00,111195.28125,110656.4140625,-0.004846133589863966,hold
2025-09-02 22:00:00+00:00,2025-09-02 22:00:00+00:00,111231.90625,110857.2578125,-0.0033681742058609965,hold
2025-09-02 23:00:00+00:00,2025-09-02 23:00:00+00:00,111194.046875,110649.296875,-0.004899093209660643,hold
2025-09-03 00:00:00+00:00,2025-09-03 00:00:00+00:00,111360.8125,110797.7578125,-0.005056129484507843,hold
2025-09-03 01:00:00+00:00,2025-09-03 01:00:00+00:00,111170.2578125,110875.328125,-0.0026529549656836293,hold
2025-09-03 02:00:00+00:00,2025-09-03 02:00:00+00:00,111404.796875,111137.484375,-0.002399470287620886,hold
2025-09-03 03:00:00+00:00,2025-09-03 03:00:00+00:00,111066.8046875,111058.125,-7.814834976505036e-05,hold
2025-09-03 04:00:00+00:00,2025-09-03 04:00:00+00:00,111033.609375,110879.0859375,-0.0013916816572009383,hold
2025-09-03 05:00:00+00:00,2025-09-03 05:00:00+00:00,110710.3203125,110718.0234375,6.957910498539555e-05,hold
2025-09-03 06:00:00+00:00,2025-09-03 06:00:00+00:00,110722.7265625,110789.765625,0.0006054679520752781,hold
2025-09-03 07:00:00+00:00,2025-09-03 07:00:00+00:00,111106.625,110836.75,-0.002428973069787732,hold
2025-09-03 08:00:00+00:00,2025-09-03 08:00:00+00:00,111003.421875,110945.8203125,-0.0005189169984765041,hold
2025-09-03 09:00:00+00:00,2025-09-03 09:00:00+00:00,111264.2890625,110716.5703125,-0.00492268233244475,hold
2025-09-03 10:00:00+00:00,2025-09-03 10:00:00+00:00,111452.21875,110762.1484375,-0.006191624718103639,hold
2025-09-03 11:00:00+00:00,2025-09-03 11:00:00+00:00,111481.59375,110789.0,-0.006212628710288826,hold
2025-09-03 12:00:00+00:00,2025-09-03 12:00:00+00:00,111149.4921875,110846.40625,-0.0027268315089440387,hold
2025-09-03 13:00:00+00:00,2025-09-03 13:00:00+00:00,111441.4765625,110917.984375,-0.00469746277281613,hold
2025-09-03 14:00:00+00:00,2025-09-03 14:00:00+00:00,112325.359375,110829.4140625,-0.01331796595910073,hold
2025-09-03 15:00:00+00:00,2025-09-03 15:00:00+00:00,112241.46875,110488.421875,-0.015618531141147418,hold
2025-09-03 16:00:00+00:00,2025-09-03 16:00:00+00:00,111872.140625,110280.65625,-0.01422592225471686,hold
2025-09-03 17:00:00+00:00,2025-09-03 17:00:00+00:00,112337.8515625,110163.4140625,-0.01935623184666513,hold
2025-09-03 18:00:00+00:00,2025-09-03 18:00:00+00:00,112002.2265625,110258.4375,-0.015569235684139926,hold
2025-09-03 19:00:00+00:00,2025-09-03 19:00:00+00:00,112226.90625,110053.5546875,-0.01936569076989947,hold
2025-09-03 20:00:00+00:00,2025-09-03 20:00:00+00:00,112231.0703125,110156.0390625,-0.018488919728041564,hold
2025-09-03 21:00:00+00:00,2025-09-03 21:00:00+00:00,112009.5546875,110229.203125,-0.015894640126613124,hold
2025-09-03 22:00:00+00:00,2025-09-03 22:00:00+00:00,111972.9375,110183.8359375,-0.01597798184494359,hold
2025-09-03 23:00:00+00:00,2025-09-03 23:00:00+00:00,111711.046875,110225.75,-0.013295881799961884,hold
2025-09-04 00:00:00+00:00,2025-09-04 00:00:00+00:00,112172.578125,110385.0859375,-0.015935197508860854,hold
2025-09-04 01:00:00+00:00,2025-09-04 01:00:00+00:00,111924.265625,110550.453125,-0.01227448303840506,hold
