type,ts,price,size,cash,realized_pnl,stop_loss
buy,2024-03-05 19:00:00+00:00,61211.64,0.00977657,-600.0,0.0,55090.48
buy,2024-03-05 20:00:00+00:00,61980.03,0.00849672,-528.0,0.0,55782.03
buy,2024-03-15 04:00:00+00:00,67360.71,0.00687986,-464.64,0.0,60624.64
sell,2024-03-20 20:00:00+00:00,67100.99,0.01277227,854.8,69.13,
sell,2024-03-20 21:00:00+00:00,67642.47,0.0112396,758.3,66.91,
sell,2024-03-20 22:00:00+00:00,67735.77,0.00989085,668.22,59.8,
sell,2024-03-20 23:00:00+00:00,67880.97,0.00870395,589.3,53.88,
sell,2024-03-21 00:00:00+00:00,67695.23,0.00765947,517.16,46.0,
buy,2024-04-13 20:00:00+00:00,62081.7,0.05458512,-3397.57,0.0,55873.53
buy,2024-04-13 21:00:00+00:00,62989.5,0.02689922,-1698.79,0.0,56690.55
buy,2024-07-05 04:00:00+00:00,53933.04,0.01570808,-849.39,0.0,48539.74
buy,2024-08-05 00:00:00+00:00,56036.67,0.00540856,-303.87,0.0,50433.0
buy,2024-08-05 01:00:00+00:00,54691.21,0.00402813,-220.88,0.0,49222.09
buy,2024-08-05 02:00:00+00:00,54657.34,0.00239984,-131.51,0.0,49191.6
buy,2024-08-05 03:00:00+00:00,54056.43,0.00151169,-81.93,0.0,48650.79
buy,2024-08-05 04:00:00+00:00,53615.59,0.00090117,-48.44,0.0,48254.03
buy,2024-08-05 05:00:00+00:00,52753.21,0.00054084,-28.61,0.0,47477.89
buy,2024-08-05 06:00:00+00:00,51460.37,0.00032731,-16.89,0.0,46314.33
buy,2024-08-05 06:00:00+00:00,51460.37,0.00016549,-8.54,0.0,46314.33
buy,2024-08-05 07:00:00+00:00,52740.91,8.257e-05,-4.37,0.0,47466.82
buy,2024-08-05 08:00:00+00:00,52760.21,4.127e-05,-2.18,0.0,47484.19
buy,2024-08-05 09:00:00+00:00,52449.55,2.064e-05,-1.09,0.0,47204.6
sell,2024-08-08 21:00:00+00:00,61065.8,0.02887144,1758.47,-17.52,
sell,2024-08-08 22:00:00+00:00,62427.05,0.02560223,1594.12,-12.09,
sell,2024-08-08 23:00:00+00:00,61784.68,0.02024289,1247.45,-18.22,
