type,ts,price,size,cash,realized_pnl,stop_loss
buy,2024-09-10 03:00:00+00:00,56560.37,0.08817127,-5000.0,0.0,50904.33
sell,2024-09-16 21:00:00+00:00,57975.44,0.04408564,2549.24,55.74,
sell,2024-09-30 16:00:00+00:00,63478.31,0.02204282,1395.6,148.85,
buy,2024-10-12 05:00:00+00:00,62755.94,0.0710816,-4472.42,0.0,56480.34
sell,2024-10-22 05:00:00+00:00,67529.8,0.04656221,3136.16,350.67,
buy,2024-10-25 09:00:00+00:00,67783.58,0.05597816,-3804.29,0.0,61005.22
sell,2024-10-25 21:00:00+00:00,67154.89,0.05127019,3434.09,192.91,
sell,2024-11-01 22:00:00+00:00,69395.84,0.02563509,1774.34,36.71,
sell,2024-11-26 02:00:00+00:00,94596.95,0.01281755,1209.35,340.53,
buy,2024-11-29 16:00:00+00:00,97904.66,0.0520685,-5111.04,0.0,88114.2
sell,2024-12-03 06:00:00+00:00,95617.26,0.03244302,3094.05,303.8,
buy,2024-12-04 20:00:00+00:00,98956.72,0.04135016,-4102.54,0.0,89061.05
sell,2024-12-09 23:00:00+00:00,97485.73,0.03689659,3587.54,-29.49,
buy,2024-12-12 01:00:00+00:00,100524.66,0.03815027,-3845.04,0.0,90472.2
sell,2024-12-19 03:00:00+00:00,101162.64,0.03752343,3786.1,71.92,
buy,2024-12-25 09:00:00+00:00,98066.67,0.03880676,-3815.57,0.0,88260.0
sell,2024-12-27 00:00:00+00:00,95714.92,0.03816509,3643.47,-191.48,
sell,2025-01-08 08:00:00+00:00,95939.73,0.01908255,1826.01,-45.35,
buy,2025-01-14 14:00:00+00:00,96163.87,0.04815174,-4642.53,0.0,86547.48
buy,2025-01-24 10:00:00+00:00,105372.92,0.02197176,-2321.26,0.0,94835.63
buy,2025-02-11 01:00:00+00:00,98063.08,0.01180479,-1160.63,0.0,88256.77
sell,2025-02-12 00:00:00+00:00,96075.57,0.05050542,4839.72,-53.39,
buy,2025-02-13 14:00:00+00:00,95906.03,0.03120112,-3000.18,0.0,86315.43
buy,2025-02-14 16:00:00+00:00,97517.94,0.0153427,-1500.09,0.0,87766.14
sell,2025-02-17 03:00:00+00:00,96230.05,0.04852462,4657.39,-229.93,
sell,2025-02-22 12:00:00+00:00,96856.45,0.02426231,2343.85,12.68,
