signal_col,horizon,threshold,buy_count,buy_win,buy_winrate,buy_mean_ret,buy_median_ret,sell_count,sell_win,sell_winrate,sell_mean_ret,sell_median_ret
res_signal,1 days 00:00:00,0.01,599,183,0.3055091819699499,0.004050806736026519,0.0028451426523834478,660,92,0.1393939393939394,0.0076965533276177524,0.00413195485064255
res_signal,1 days 00:00:00,0.03,599,54,0.09015025041736227,0.004050806736026519,0.0028451426523834478,660,15,0.022727272727272728,0.0076965533276177524,0.00413195485064255
res_signal,1 days 00:00:00,0.05,599,15,0.025041736227045076,0.004050806736026519,0.0028451426523834478,660,5,0.007575757575757576,0.0076965533276177524,0.00413195485064255
res_signal,3 days 00:00:00,0.01,565,317,0.5610619469026549,0.013710394839963494,0.014047869811147695,660,153,0.2318181818181818,0.01135542937128109,0.005855874049428
res_signal,3 days 00:00:00,0.03,565,151,0.2672566371681416,0.013710394839963494,0.014047869811147695,660,57,0.08636363636363636,0.01135542937128109,0.005855874049428
res_signal,3 days 00:00:00,0.05,565,69,0.12212389380530973,0.013710394839963494,0.014047869811147695,660,0,0.0,0.01135542937128109,0.005855874049428
res_signal,7 days 00:00:00,0.01,553,281,0.5081374321880651,0.012816918894986165,0.010302615146939198,660,153,0.2318181818181818,0.015399352547456497,0.012863632347396736
res_signal,7 days 00:00:00,0.03,553,153,0.2766726943942134,0.012816918894986165,0.010302615146939198,660,88,0.13333333333333333,0.015399352547456497,0.012863632347396736
res_signal,7 days 00:00:00,0.05,553,98,0.17721518987341772,0.012816918894986165,0.010302615146939198,660,52,0.07878787878787878,0.015399352547456497,0.012863632347396736
trad_signal,1 days 00:00:00,0.01,14,5,0.35714285714285715,-0.002090382169694625,-0.0035726221060679575,15,4,0.26666666666666666,-0.000574119066276609,0.004392953709568381
trad_signal,1 days 00:00:00,0.03,14,0,0.0,-0.002090382169694625,-0.0035726221060679575,15,2,0.13333333333333333,-0.000574119066276609,0.004392953709568381
trad_signal,1 days 00:00:00,0.05,14,0,0.0,-0.002090382169694625,-0.0035726221060679575,15,0,0.0,-0.000574119066276609,0.004392953709568381
trad_signal,3 days 00:00:00,0.01,14,5,0.35714285714285715,0.001484879654006185,-0.005409774536593526,15,4,0.26666666666666666,0.0039241049031721285,0.006361235188561798
trad_signal,3 days 00:00:00,0.03,14,4,0.2857142857142857,0.001484879654006185,-0.005409774536593526,15,4,0.26666666666666666,0.0039241049031721285,0.006361235188561798
trad_signal,3 days 00:00:00,0.05,14,1,0.07142857142857142,0.001484879654006185,-0.005409774536593526,15,1,0.06666666666666667,0.0039241049031721285,0.006361235188561798
trad_signal,7 days 00:00:00,0.01,14,6,0.42857142857142855,0.002803065863419369,-0.0031625640241598196,15,5,0.3333333333333333,0.021727004959819503,0.029602791487790103
trad_signal,7 days 00:00:00,0.03,14,5,0.35714285714285715,0.002803065863419369,-0.0031625640241598196,15,4,0.26666666666666666,0.021727004959819503,0.029602791487790103
trad_signal,7 days 00:00:00,0.05,14,3,0.21428571428571427,0.002803065863419369,-0.0031625640241598196,15,0,0.0,0.021727004959819503,0.029602791487790103
