type,ts,price,size,cash,realized_pnl,stop_loss
buy,2024-03-21 16:00:00+00:00,66746.34,0.0747157,-5000.0,0.0,60071.71
sell,2024-03-21 23:00:00+00:00,65471.57,0.03735785,2439.52,-53.98,
buy,2024-04-06 19:00:00+00:00,68299.22,0.05432108,-3719.76,0.0,61469.3
buy,2024-04-20 01:00:00+00:00,63754.85,0.02909651,-1859.88,0.0,57379.36
sell,2024-04-25 07:00:00+00:00,63978.12,0.06038773,3853.45,-212.97,
buy,2024-05-04 03:00:00+00:00,62722.59,0.045426,-2856.66,0.0,56450.33
sell,2024-05-09 00:00:00+00:00,61399.8,0.05290686,3240.02,-275.24,
sell,2024-05-15 03:00:00+00:00,61918.4,0.02645343,1633.7,-33.25,
sell,2024-05-24 06:00:00+00:00,66936.23,0.01322672,883.04,53.43,
buy,2024-05-25 10:00:00+00:00,69371.89,0.06192013,-4306.71,0.0,62434.7
sell,2024-05-26 23:00:00+00:00,68518.48,0.03757342,2567.78,49.19,
buy,2024-05-28 00:00:00+00:00,69279.37,0.0494853,-3437.25,0.0,62351.43
sell,2024-05-28 01:00:00+00:00,68548.71,0.04352936,2976.12,-43.04,
sell,2024-06-08 12:00:00+00:00,69321.61,0.02176468,1504.84,-3.0,
buy,2024-06-30 21:00:00+00:00,61839.57,0.06385574,-3959.11,0.0,55655.61
buy,2024-07-10 00:00:00+00:00,57463.15,0.03435951,-1979.55,0.0,51716.84
sell,2024-07-24 10:00:00+00:00,66498.47,0.05998997,3978.87,107.19,
buy,2024-07-26 16:00:00+00:00,67403.09,0.044085,-2979.21,0.0,60662.78
sell,2024-07-30 13:00:00+00:00,66330.09,0.05203748,3442.68,340.27,
buy,2024-08-18 02:00:00+00:00,59980.6,0.05339385,-3210.94,0.0,53982.54
