type,ts,price,size,cash,realized_pnl,stop_loss
buy,2025-04-02 04:00:00+00:00,84555.05,0.05897932,-5000.0,0.0,76099.55
sell,2025-04-03 15:00:00+00:00,82032.52,0.02948966,2412.82,-80.68,
buy,2025-04-04 23:00:00+00:00,83843.58,0.04409132,-3706.41,0.0,75459.22
sell,2025-04-05 21:00:00+00:00,82919.49,0.03679049,3042.72,-62.91,
buy,2025-04-10 10:00:00+00:00,81698.38,0.04119776,-3374.56,0.0,73528.54
sell,2025-04-11 05:00:00+00:00,80766.96,0.03899412,3141.25,-123.43,
sell,2025-05-05 01:00:00+00:00,93939.5,0.01949706,1826.78,233.9,
sell,2025-05-15 08:00:00+00:00,102325.13,0.00974853,994.93,198.49,
buy,2025-05-16 11:00:00+00:00,103676.66,0.04491485,-4668.76,0.0,93309.0
sell,2025-05-17 11:00:00+00:00,103014.32,0.02733169,2808.23,188.83,
sell,2025-05-25 19:00:00+00:00,107779.94,0.01366584,1469.07,52.25,
sell,2025-05-28 13:00:00+00:00,108085.83,0.00683292,736.62,28.21,
buy,2025-06-04 04:00:00+00:00,105490.89,0.04577417,-4841.35,0.0,94941.8
sell,2025-06-04 20:00:00+00:00,104618.29,0.02630355,2744.68,-17.71,
buy,2025-06-07 10:00:00+00:00,105208.94,0.03595844,-3793.01,0.0,94688.04
buy,2025-06-16 22:00:00+00:00,107787.72,0.01754908,-1896.51,0.0,97008.95
buy,2025-06-24 09:00:00+00:00,105285.76,0.00898305,-948.25,0.0,94757.18
sell,2025-07-08 07:00:00+00:00,108475.89,0.04439706,4803.49,125.11,
buy,2025-07-08 22:00:00+00:00,108931.64,0.02633205,-2875.87,0.0,98038.48
sell,2025-07-19 03:00:00+00:00,118357.15,0.03536456,4174.77,408.97,
buy,2025-07-22 22:00:00+00:00,119877.09,0.02933131,-3525.32,0.0,107889.38
sell,2025-07-24 02:00:00+00:00,119012.27,0.03234793,3839.79,348.89,
buy,2025-07-24 14:00:00+00:00,119072.32,0.03084663,-3682.55,0.0,107165.09
buy,2025-07-27 05:00:00+00:00,118334.05,0.01551954,-1841.28,0.0,106500.64
sell,2025-07-30 07:00:00+00:00,118111.36,0.03935705,4636.43,-42.92,
buy,2025-08-07 04:00:00+00:00,114381.44,0.02824263,-3238.85,0.0,102943.29
sell,2025-08-15 07:00:00+00:00,119039.13,0.03379984,4013.04,-4.23,
buy,2025-08-23 06:00:00+00:00,115711.03,0.03125476,-3625.95,0.0,104139.93
