type,ts,price,size,cash,realized_pnl,stop_loss
buy,2025-10-11 01:00:00+00:00,111326.34,0.02142352,-2391.22,0.0,100193.7
buy,2025-11-21 10:00:00+00:00,82639.76,0.01574302,-1304.39,0.0,74375.78
buy,2025-11-21 10:00:00+00:00,82639.76,0.00787151,-652.2,0.0,74375.78
buy,2025-11-21 11:00:00+00:00,82228.77,0.00395543,-326.1,0.0,74005.9
buy,2025-11-21 11:00:00+00:00,82228.77,0.00197771,-163.05,0.0,74005.9
buy,2025-11-21 12:00:00+00:00,83142.98,0.00097798,-81.52,0.0,74828.68
buy,2025-11-21 13:00:00+00:00,84121.77,0.0004833,-40.76,0.0,75709.6
buy,2025-11-21 14:00:00+00:00,85038.87,0.00023904,-20.38,0.0,76534.98
buy,2025-11-21 15:00:00+00:00,82816.71,0.00012273,-10.19,0.0,74535.04
buy,2025-11-21 16:00:00+00:00,84550.14,6.011e-05,-5.1,0.0,76095.13
buy,2025-11-21 17:00:00+00:00,84845.89,2.995e-05,-2.55,0.0,76361.3
buy,2025-11-21 18:00:00+00:00,84544.88,1.503e-05,-1.27,0.0,76090.39
sell,2026-02-06 16:00:00+00:00,69743.15,0.03968633,2760.65,-1537.28,
sell,2026-02-06 17:00:00+00:00,70801.62,0.02346827,1657.27,-935.73,
sell,2026-02-06 18:00:00+00:00,69745.58,0.01397916,972.45,-310.09,
sell,2026-02-06 19:00:00+00:00,70739.24,0.00840678,593.14,-101.59,
sell,2026-02-06 22:00:00+00:00,71295.26,0.00513121,364.88,-59.16,
