signal_col,horizon,threshold,buy_count,buy_win,buy_winrate,buy_mean_ret,buy_median_ret,sell_count,sell_win,sell_winrate,sell_mean_ret,sell_median_ret
res_signal,1 days 00:00:00,0.01,683,199,0.2913616398243045,-0.0011062866779475657,0.00045018535374263813,400,112,0.28,0.0010410306796871326,0.0003805090295504465
res_signal,1 days 00:00:00,0.03,683,70,0.10248901903367497,-0.0011062866779475657,0.00045018535374263813,400,23,0.0575,0.0010410306796871326,0.0003805090295504465
res_signal,1 days 00:00:00,0.05,683,38,0.055636896046852125,-0.0011062866779475657,0.00045018535374263813,400,8,0.02,0.0010410306796871326,0.0003805090295504465
res_signal,3 days 00:00:00,0.01,683,275,0.40263543191800877,-0.005931393127552411,0.003223923446091126,400,203,0.5075,-0.003341376750359303,-0.011271585059234424
res_signal,3 days 00:00:00,0.03,683,156,0.22840409956076135,-0.005931393127552411,0.003223923446091126,400,98,0.245,-0.003341376750359303,-0.011271585059234424
res_signal,3 days 00:00:00,0.05,683,45,0.06588579795021962,-0.005931393127552411,0.003223923446091126,400,28,0.07,-0.003341376750359303,-0.011271585059234424
res_signal,7 days 00:00:00,0.01,683,244,0.35724743777452417,-0.03117931109605934,-0.01528721402732558,400,199,0.4975,-0.019470658592882495,-0.009775568933221901
res_signal,7 days 00:00:00,0.03,683,128,0.18740849194729137,-0.03117931109605934,-0.01528721402732558,400,158,0.395,-0.019470658592882495,-0.009775568933221901
res_signal,7 days 00:00:00,0.05,683,79,0.11566617862371889,-0.03117931109605934,-0.01528721402732558,400,139,0.3475,-0.019470658592882495,-0.009775568933221901
trad_signal,1 days 00:00:00,0.01,11,3,0.2727272727272727,0.0007302391355532365,-0.0020321427812914905,15,1,0.06666666666666667,0.007408048746941594,0.001624069034464437
trad_signal,1 days 00:00:00,0.03,11,2,0.18181818181818182,0.0007302391355532365,-0.0020321427812914905,15,0,0.0,0.007408048746941594,0.001624069034464437
trad_signal,1 days 00:00:00,0.05,11,0,0.0,0.0007302391355532365,-0.0020321427812914905,15,0,0.0,0.007408048746941594,0.001624069034464437
trad_signal,3 days 00:00:00,0.01,11,3,0.2727272727272727,-0.008368133914079595,-0.009338956855575287,15,6,0.4,-0.009156631506834515,-0.004700739548453625
trad_signal,3 days 00:00:00,0.03,11,2,0.18181818181818182,-0.008368133914079595,-0.009338956855575287,15,4,0.26666666666666666,-0.009156631506834515,-0.004700739548453625
trad_signal,3 days 00:00:00,0.05,11,0,0.0,-0.008368133914079595,-0.009338956855575287,15,3,0.2,-0.009156631506834515,-0.004700739548453625
trad_signal,7 days 00:00:00,0.01,11,3,0.2727272727272727,-0.024802940249632668,-0.014661448430339674,15,7,0.4666666666666667,-0.016218526990269228,0.011242471551242916
trad_signal,7 days 00:00:00,0.03,11,2,0.18181818181818182,-0.024802940249632668,-0.014661448430339674,15,6,0.4,-0.016218526990269228,0.011242471551242916
trad_signal,7 days 00:00:00,0.05,11,1,0.09090909090909091,-0.024802940249632668,-0.014661448430339674,15,4,0.26666666666666666,-0.016218526990269228,0.011242471551242916
