signal_col,horizon,threshold,buy_count,buy_win,buy_winrate,buy_mean_ret,buy_median_ret,sell_count,sell_win,sell_winrate,sell_mean_ret,sell_median_ret
res_signal,1 days 00:00:00,0.01,652,199,0.3052147239263804,-0.0011733971798078091,0.0007936244337226617,400,112,0.28,0.0010410306796871326,0.0003805090295504465
res_signal,1 days 00:00:00,0.03,652,70,0.10736196319018405,-0.0011733971798078091,0.0007936244337226617,400,23,0.0575,0.0010410306796871326,0.0003805090295504465
res_signal,1 days 00:00:00,0.05,652,38,0.05828220858895705,-0.0011733971798078091,0.0007936244337226617,400,8,0.02,0.0010410306796871326,0.0003805090295504465
res_signal,3 days 00:00:00,0.01,652,244,0.37423312883435583,-0.00779718610463504,0.0008248977848187566,400,203,0.5075,-0.003341376750359303,-0.011271585059234424
res_signal,3 days 00:00:00,0.03,652,140,0.2147239263803681,-0.00779718610463504,0.0008248977848187566,400,98,0.245,-0.003341376750359303,-0.011271585059234424
res_signal,3 days 00:00:00,0.05,652,45,0.06901840490797546,-0.00779718610463504,0.0008248977848187566,400,28,0.07,-0.003341376750359303,-0.011271585059234424
res_signal,7 days 00:00:00,0.01,652,213,0.3266871165644172,-0.03776560834657738,-0.019683229103538036,400,199,0.4975,-0.019470658592882495,-0.009775568933221901
res_signal,7 days 00:00:00,0.03,652,97,0.14877300613496933,-0.03776560834657738,-0.019683229103538036,400,158,0.395,-0.019470658592882495,-0.009775568933221901
res_signal,7 days 00:00:00,0.05,652,48,0.0736196319018405,-0.03776560834657738,-0.019683229103538036,400,139,0.3475,-0.019470658592882495,-0.009775568933221901
trad_signal,1 days 00:00:00,0.01,11,3,0.2727272727272727,0.0007302391355532365,-0.0020321427812914905,15,1,0.06666666666666667,0.007408048746941594,0.001624069034464437
trad_signal,1 days 00:00:00,0.03,11,2,0.18181818181818182,0.0007302391355532365,-0.0020321427812914905,15,0,0.0,0.007408048746941594,0.001624069034464437
trad_signal,1 days 00:00:00,0.05,11,0,0.0,0.0007302391355532365,-0.0020321427812914905,15,0,0.0,0.007408048746941594,0.001624069034464437
trad_signal,3 days 00:00:00,0.01,11,3,0.2727272727272727,-0.008368133914079595,-0.009338956855575287,15,6,0.4,-0.009156631506834515,-0.004700739548453625
trad_signal,3 days 00:00:00,0.03,11,2,0.18181818181818182,-0.008368133914079595,-0.009338956855575287,15,4,0.26666666666666666,-0.009156631506834515,-0.004700739548453625
trad_signal,3 days 00:00:00,0.05,11,0,0.0,-0.008368133914079595,-0.009338956855575287,15,3,0.2,-0.009156631506834515,-0.004700739548453625
trad_signal,7 days 00:00:00,0.01,10,3,0.3,-0.02043011928143663,-0.011926867209825776,15,7,0.4666666666666667,-0.016218526990269228,0.011242471551242916
trad_signal,7 days 00:00:00,0.03,10,2,0.2,-0.02043011928143663,-0.011926867209825776,15,6,0.4,-0.016218526990269228,0.011242471551242916
trad_signal,7 days 00:00:00,0.05,10,1,0.1,-0.02043011928143663,-0.011926867209825776,15,4,0.26666666666666666,-0.016218526990269228,0.011242471551242916
