Datetime,price,volume,ma_short,ma_long,rsi,trad_signal,trad_signal_trend,amplitude,time_comp,fft_period,resonance_score,use_grid,direction_hint,res_signal,prob_res_signal_buy_1D,prob_res_signal_sell_1D,prob_trad_signal_buy_1D,prob_trad_signal_sell_1D,prob_res_signal_buy_3D,prob_res_signal_sell_3D,prob_trad_signal_buy_3D,prob_trad_signal_sell_3D,prob_res_signal_buy_7D,prob_res_signal_sell_7D,prob_trad_signal_buy_7D,prob_trad_signal_sell_7D
2025-03-01 00:00:00+00:00,83832.046875,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 01:00:00+00:00,84626.71875,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 02:00:00+00:00,85215.453125,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 03:00:00+00:00,85235.5546875,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 04:00:00+00:00,86208.6953125,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 05:00:00+00:00,85599.203125,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 06:00:00+00:00,85017.71875,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 07:00:00+00:00,84726.09375,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 08:00:00+00:00,85285.6953125,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 09:00:00+00:00,85324.2734375,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 10:00:00+00:00,84791.40625,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 11:00:00+00:00,84591.546875,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 12:00:00+00:00,84754.9609375,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 13:00:00+00:00,84457.3203125,0,,,50.0,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 14:00:00+00:00,84664.78125,0,,,57.10685282233868,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 15:00:00+00:00,84757.4921875,0,,,51.26799270974261,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 16:00:00+00:00,85178.40625,0,,,49.62870628176981,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 17:00:00+00:00,85179.8828125,0,,,49.43995070685986,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 18:00:00+00:00,85269.2578125,0,,,38.505597699743056,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 19:00:00+00:00,85425.2734375,0,,,47.606268023147045,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 20:00:00+00:00,85453.6015625,0,,,57.07632482123062,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 21:00:00+00:00,85966.1484375,0,,,68.78421589534699,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 22:00:00+00:00,86079.546875,942098432,,,63.904846094688644,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-01 23:00:00+00:00,86039.7578125,0,85153.3681640625,,62.526877896384,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 00:00:00+00:00,85988.0859375,171909120,85243.203125,,75.19748378839871,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 01:00:00+00:00,86305.265625,0,85313.142578125,,84.3854830922418,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 02:00:00+00:00,85671.1640625,0,85332.13053385417,,65.46277299888717,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 03:00:00+00:00,85876.8125,224946176,85358.849609375,,74.7245120958853,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 04:00:00+00:00,85680.6953125,0,85336.849609375,,67.76524849243279,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 05:00:00+00:00,85900.9765625,0,85349.42350260417,,69.14201864426286,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 06:00:00+00:00,86237.953125,0,85400.2666015625,,68.24976047710807,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 07:00:00+00:00,86202.1796875,0,85461.77018229167,,67.4025566413627,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 08:00:00+00:00,85747.6796875,0,85481.01953125,,57.24370590823709,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 09:00:00+00:00,85966.28125,112064512,85507.76985677083,,58.038954375227824,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 10:00:00+00:00,85953.0546875,0,85556.171875,,57.45494150792022,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 11:00:00+00:00,86088.3046875,0,85618.53678385417,,52.05476211752462,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 12:00:00+00:00,85935.671875,0,85667.73307291667,,47.61143853241471,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 13:00:00+00:00,85609.3125,0,85715.73274739583,,43.474780013501196,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 14:00:00+00:00,85058.875,0,85732.1533203125,,37.76415713530318,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 15:00:00+00:00,87533.5859375,6875162624,85847.82389322917,,60.31401577819733,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 16:00:00+00:00,91515.8515625,8749033472,86111.88411458333,,81.41365653416821,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 17:00:00+00:00,94013.328125,9698570240,86479.9443359375,,85.08749351463166,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 18:00:00+00:00,92928.203125,4785913856,86799.06705729167,,79.02807617233336,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 19:00:00+00:00,93525.1015625,2039693312,87136.55989583333,,79.64224748042355,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 20:00:00+00:00,94421.734375,2380861440,87510.23209635417,,80.49123677190923,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 21:00:00+00:00,94161.7890625,1693671424,87851.71712239583,,79.16876617576327,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 22:00:00+00:00,94450.453125,1183977472,88200.5048828125,,82.2845642827871,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-02 23:00:00+00:00,94247.1171875,1403568128,88542.47819010417,,80.75414084592043,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 00:00:00+00:00,93371.1328125,2272235520,88850.10514322917,,75.89077118730954,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 01:00:00+00:00,93088.609375,3145031680,89132.74446614583,,74.18402703742909,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 02:00:00+00:00,93272.4140625,390270976,89449.46321614583,,75.29184776139181,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 03:00:00+00:00,92698.84375,2321981440,89733.71451822917,,74.03006923083441,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 04:00:00+00:00,92818.953125,679452672,90031.14192708333,,77.09326417521414,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 05:00:00+00:00,93231.8203125,915214336,90336.59375,,73.2406393665983,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 06:00:00+00:00,91387.09375,0,90551.14127604167,,49.36394938764547,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 07:00:00+00:00,92395.4609375,1701994496,90809.19466145833,,40.62926766138717,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 08:00:00+00:00,91341.0703125,1488658432,91042.25260416667,,40.77443637020871,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 09:00:00+00:00,91879.140625,2380922880,91288.62174479167,,40.36660164626892,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 10:00:00+00:00,92493.390625,1207525376,91561.1357421875,,38.328078096538725,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 11:00:00+00:00,92667.03125,666451968,91835.24934895833,,40.856972735639786,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 12:00:00+00:00,92971.6171875,599531520,92128.41373697917,,40.971947319070274,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 13:00:00+00:00,93450.296875,856317952,92455.12141927083,,45.29375881903999,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 14:00:00+00:00,89657.6796875,1696849920,92646.73828125,,33.68745890308472,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 15:00:00+00:00,90045.546875,2234048512,92751.4033203125,,36.754950673487464,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 16:00:00+00:00,90150.109375,0,92694.49739583333,,36.315649989077315,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 17:00:00+00:00,90238.265625,0,92537.203125,,38.736598170413345,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 18:00:00+00:00,87175.28125,81858560,92297.498046875,,29.64889921107404,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
2025-03-03 19:00:00+00:00,85657.0546875,1890635776,91969.66276041667,,24.70208275931168,hold,hold,,,,0.0,False,0.0,hold,,,,,,,,,,,,
