chain,result,count
w:Bh7|b:Nc2,draw,1
b:Nc2|w:f7,draw,1
w:f7|b:d2,draw,1
b:d2|w:Rh5,draw,1
w:Rh5|b:Nc3,draw,1
b:Nc3|w:Rc5,draw,1
w:Rc5|b:b3,draw,1
b:b3|w:Ra5,draw,1
w:Ra5|b:Nb4,draw,1
b:Nb4|w:Ra2,draw,1
w:Ra2|b:Na4,draw,1
b:Na4|w:Ra1,draw,1
w:Ra1|b:d1=R,draw,1
b:d1=R|w:f8=R,draw,1
w:f8=R|b:Nc3,draw,1
b:Nc3|w:Ra3,draw,1
w:Ra3|b:Na4,draw,1
b:Na4|w:Rd8,draw,1
w:Rd8|b:Rb1,draw,1
b:Rb1|w:Kg2,draw,1
w:Kg2|b:Nc6,draw,1
b:Nc6|w:Kf2,draw,1
w:Kf2|b:Ka7,draw,1
b:Ka7|w:Rd4,draw,1
w:Rd4|b:b2,draw,1
b:b2|w:Rh4,draw,1
w:Rh4|b:Rf1+,draw,1
b:Rf1+|w:Kg3,draw,1
w:Kg3|b:b1=Q,draw,1
b:b1=Q|w:Bg6,draw,1
w:Bg6|b:Qb6,draw,1
b:Qb6|w:Rh1,draw,1
w:Rh1|b:Qb8+,draw,1
b:Qb8+|w:Kg2,draw,1
w:Kg2|b:Qf4,draw,1
b:Qf4|w:Bh5,draw,1
w:Bh5|b:Qd4,draw,1
b:Qd4|w:Kh2,draw,1
w:Kh2|b:Na5,draw,1
b:Na5|w:Rd3,draw,1
w:Rd3|b:Kb7,draw,1
b:Kb7|w:Bd1,draw,1
w:Bd1|b:Qb6,draw,1
b:Qb6|w:Rd6,draw,1
w:Rd6|b:Rf8,draw,1
b:Rf8|w:Rxb6+,draw,1
w:Rxb6+|b:Ka8,draw,1
b:Ka8|w:Bf3+,draw,1
w:Bf3+|b:Ka7,draw,1
b:Ka7|w:Bc6,draw,1
w:Bc6|b:Rb8,draw,1
b:Rb8|w:Re1,draw,1
w:Re1|b:Rg8,draw,1
b:Rg8|w:Bh1,draw,1
w:Bh1|b:Nb3,draw,1
b:Nb3|w:Rb5,draw,1
w:Rb5|b:Rb8,draw,1
b:Rb8|w:Rc1,draw,1
w:Rc1|b:Nd2,draw,1
b:Nd2|w:Ra1,draw,1
w:Ra1|b:Nf1+,draw,1
b:Nf1+|w:Kg2,draw,1
w:Kg2|b:Ng3,draw,1
b:Ng3|w:Rb3,draw,1
w:Rb3|b:Ka6,draw,1
b:Ka6|w:Rb4,draw,1
w:Rb4|b:Rb5,draw,1
b:Rb5|w:Kh2,draw,1
w:Kh2|b:Re5,draw,1
b:Re5|w:Ra3,draw,1
w:Ra3|b:Nf5,draw,1
b:Nf5|w:Bb7+,draw,1
w:Bb7+|b:Ka7,draw,1
b:Ka7|w:Rh4,draw,1
w:Rh4|b:Re6,draw,1
b:Re6|w:Be4,draw,1
w:Be4|b:Nh6,draw,1
b:Nh6|w:Rg4,draw,1
w:Rg4|b:Rc6,draw,1
b:Rc6|w:Rgg3,draw,1
w:Rgg3|b:Rg6,draw,1
b:Rg6|w:Rgc3,draw,1
w:Rgc3|b:Nf5,draw,1
b:Nf5|w:Ba8,draw,1
w:Ba8|b:Ne3,draw,1
b:Ne3|w:Bd5,draw,1
w:Bd5|b:Kb8,draw,1
b:Kb8|w:Bf3,draw,1
w:Bf3|b:Rh6+,draw,1
b:Rh6+|w:Kg3,draw,1
w:Kg3|b:Rh5,draw,1
b:Rh5|w:Rab3+,draw,1
w:Rab3+|b:Rb5,draw,1
b:Rb5|w:Rxb5+,draw,1
w:Rxb5+|b:Ka7,draw,1
b:Ka7|w:Rcc5,draw,1
w:Rcc5|b:Ng2,draw,1
b:Ng2|w:Rc2,draw,1
w:Rc2|b:Nf4,draw,1
b:Nf4|w:Be2,draw,1
w:Be2|b:Nc5,draw,1
b:Nc5|w:Rbb2,draw,1
w:Rbb2|b:Nxe2+,draw,1
b:Nxe2+|w:Kg2,draw,1
w:Kg2|b:Ne6,draw,1
b:Ne6|w:Kf2,draw,1
w:Kf2|b:Nd8,draw,1
b:Nd8|w:Rb1,draw,1
w:Rb1|b:Ng3,draw,1
b:Ng3|w:Ra1+,draw,1
w:Ra1+|b:Kb7,draw,1
b:Kb7|w:Rc5,draw,1
