sequence;count;avg_score
g5 Qa4+ Rxa4 Bb5+ Nc6 gxh3 Ra7 exf6 Ra6 bxa3;1;10.0
Qa4+ Rxa4 Bb5+ Nc6 gxh3 Ra7 exf6 Ra6 bxa3 b6;1;10.0
Rxa4 Bb5+ Nc6 gxh3 Ra7 exf6 Ra6 bxa3 b6 Bxc6+;1;10.0
Bb5+ Nc6 gxh3 Ra7 exf6 Ra6 bxa3 b6 Bxc6+ Kd6;1;10.0
Nc6 gxh3 Ra7 exf6 Ra6 bxa3 b6 Bxc6+ Kd6 Bc7#;1;10.0
e4 h5 h4 a5 e5 a4 g3 e6 Nf3 Ke7;1;10.0
h5 h4 a5 e5 a4 g3 e6 Nf3 Ke7 d4;1;10.0
h4 a5 e5 a4 g3 e6 Nf3 Ke7 d4 d5;1;10.0
a5 e5 a4 g3 e6 Nf3 Ke7 d4 d5 exd6+;1;10.0
e5 a4 g3 e6 Nf3 Ke7 d4 d5 exd6+ Ke8;1;10.0
a4 g3 e6 Nf3 Ke7 d4 d5 exd6+ Ke8 Bf4;1;10.0
g3 e6 Nf3 Ke7 d4 d5 exd6+ Ke8 Bf4 c6;1;10.0
e6 Nf3 Ke7 d4 d5 exd6+ Ke8 Bf4 c6 Nbd2;1;10.0
Nf3 Ke7 d4 d5 exd6+ Ke8 Bf4 c6 Nbd2 b5;1;10.0
Ke7 d4 d5 exd6+ Ke8 Bf4 c6 Nbd2 b5 c4;1;10.0
d4 d5 exd6+ Ke8 Bf4 c6 Nbd2 b5 c4 Qd7;1;10.0
d5 exd6+ Ke8 Bf4 c6 Nbd2 b5 c4 Qd7 Ne4;1;10.0
exd6+ Ke8 Bf4 c6 Nbd2 b5 c4 Qd7 Ne4 Bb7;1;10.0
Ke8 Bf4 c6 Nbd2 b5 c4 Qd7 Ne4 Bb7 Rb1;1;10.0
Bf4 c6 Nbd2 b5 c4 Qd7 Ne4 Bb7 Rb1 f5;1;10.0
c6 Nbd2 b5 c4 Qd7 Ne4 Bb7 Rb1 f5 Nc5;1;10.0
Nbd2 b5 c4 Qd7 Ne4 Bb7 Rb1 f5 Nc5 Kf7;1;10.0
b5 c4 Qd7 Ne4 Bb7 Rb1 f5 Nc5 Kf7 Ne5+;1;10.0
c4 Qd7 Ne4 Bb7 Rb1 f5 Nc5 Kf7 Ne5+ Ke8;1;10.0
Qd7 Ne4 Bb7 Rb1 f5 Nc5 Kf7 Ne5+ Ke8 Nexd7;1;10.0
Ne4 Bb7 Rb1 f5 Nc5 Kf7 Ne5+ Ke8 Nexd7 Nxd7;1;10.0
Bb7 Rb1 f5 Nc5 Kf7 Ne5+ Ke8 Nexd7 Nxd7 Nxe6;1;10.0
Rb1 f5 Nc5 Kf7 Ne5+ Ke8 Nexd7 Nxd7 Nxe6 Rb8;1;10.0
